Source	Size
webpack://seismic-app-core/src/FormViewer/InnerFormViewer/index.jsx	9155
webpack://seismic-app-core/src/FormViewer/FormContent/index.jsx	7293
webpack://seismic-app-core/src/FormViewer/index.jsx	5738
webpack://seismic-app-core/src/FormViewer/FormPagination/index.jsx	5652
webpack://seismic-app-core/external assign "__global_module_registers__[\"seismic-toolkit\"]"	4963
webpack://seismic-app-core/src/FormViewer/FormInstanceActions/index.jsx	3853
webpack://seismic-app-core/src/FormViewer/FormActions/index.jsx	3709
webpack://seismic-app-core/src/FormViewer/core/i18n/index.js	1254
webpack://seismic-app-core/node_modules/classnames/index.js	905
webpack://seismic-app-core/src/common/i18n.js	388
webpack://seismic-app-core/src/FormViewer/core/index.jsx	375
webpack://seismic-app-core/webpack/runtime/make namespace object	175
webpack://seismic-app-core/src/FormViewer/entry.js	163
[unmapped]	152
webpack://seismic-app-core/node_modules/@seismic/toolchain-scripts/webpack/manifest/setPublicPath.js	131
webpack://seismic-app-core/webpack/bootstrap	122
webpack://seismic-app-core/external assign "__global_module_registers__[\"seismic-common\"]"	87
[sourceMappingURL]	85
webpack://seismic-app-core/external assign "PropTypes"	51
webpack://seismic-app-core/external assign "React"	47
webpack://seismic-app-core/webpack/runtime/publicPath	16
[EOLs]	2
