Source	Size
[no source]	158311
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/common/viewHelper.jsx	54390
webpack://seismic-content-manager/src-v2/service/fileUploadBusiness.js	18608
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/collectionBusiness.js	15409
webpack://seismic-content-manager/src-v2/model/content-item.js	9464
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/simplify-publish/simplify-publish.jsx	9246
webpack://seismic-content-manager/src-v2/ui/components/profile/profile-list/profile-list.jsx	8893
webpack://seismic-content-manager/src-v2/ui/components/publishDialog/publishDialog.jsx	7920
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/simplify-publish-folder/simplify-publish-folder.jsx	7809
webpack://seismic-content-manager/src-v2/utilities/action-list/options.js	7567
webpack://seismic-content-manager/src-v2/ui/components/editable-component/editable-multivalue-next-ui/index.jsx	5563
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/folder-add-collection-view/folder-add-collection-view.jsx	5231
webpack://seismic-content-manager/src-v2/ui/features/uniquePermissions/uniquePermissionDialog/unique-permission-dialog.jsx	4793
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/add-collection-view/add-collection-view.jsx	4769
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/simplify-unpublish/simplify-unpublish.jsx	4421
webpack://seismic-content-manager/src-v2/ui/components/publishInfo/profile-collection.jsx	4397
webpack://seismic-content-manager/src-v2/ui/components/profile/profile-path/profile-path.jsx	3858
webpack://seismic-content-manager/src-v2/ui/components/dialog/promote-next-ui/index.jsx	3792
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/folder-published-collection-view/folder-published-collection-view.jsx	3491
webpack://seismic-content-manager/src-v2/ui/components/editable-component/editable-multivalue-next-ui/transfer-widget.jsx	3428
webpack://seismic-content-manager/src-v2/ui/components/dialog/properties-checker/properties-checker.jsx	3361
webpack://seismic-content-manager/src-v2/ui/components/dialog/submit/submit-hub.jsx	3237
webpack://seismic-content-manager/src-v2/business/syncStatusInfoInstance.js	3026
webpack://seismic-content-manager/src-v2/model/workflowItem.js	3009
webpack://seismic-content-manager/src-v2/ui/features/contentPlanning/add-to-task/index.jsx	2900
webpack://seismic-content-manager/src-v2/ui/components/dialog/submit/submit.jsx	2879
webpack://seismic-content-manager/src-v2/ui/features/uniquePermissions/addUserCandidates/addUserCandidates.jsx	2867
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/collection-list-view/collection-list-view.jsx	2849
webpack://seismic-content-manager/src-v2/ui/components/profile/profile-edit-list/profile-edit-list.jsx	2776
webpack://seismic-content-manager/src-v2/ui/components/mantleRichEditor/index.jsx	2710
webpack://seismic-content-manager/src-v2/ui/components/dialog/submit-next-ui/submit-hub.jsx	2577
webpack://seismic-content-manager/src-v2/ui/components/uploadImage/Select/index.jsx	2577
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/com-components/notification/index.jsx	2538
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/listItem/itemWithActionButton/itemWithActionButton.jsx	2520
webpack://seismic-content-manager/src-v2/ui/components/notify-subscriber/index.jsx	2417
webpack://seismic-content-manager/src-v2/ui/components/dialog/submit/workflow.jsx	2339
webpack://seismic-content-manager/src-v2/ui/components/unpublish-view/unpublish-view.jsx	2258
webpack://seismic-content-manager/src-v2/ui/components/microapp/utils.js	2244
webpack://seismic-content-manager/src-v2/ui/components/datetime/datetime.jsx	2244
webpack://seismic-content-manager/src-v2/ui/features/contentPlanning/add-to-project/index.jsx	2235
webpack://seismic-content-manager/src-v2/ui/components/dialog/properties-checker-next-ui/properties-checker.jsx	2184
webpack://seismic-content-manager/src-v2/ui/features/uniquePermissions/restrictionView/restrictionView.jsx	2161
webpack://seismic-content-manager/src-v2/ui/features/uniquePermissions/listItem/itemBase/itemBase.jsx	2053
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/folderCollectionBusiness.js	1865
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/com-components/notification/failedTemplate.jsx	1825
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/warning-msg-container/warning-msg-container.jsx	1790
webpack://seismic-content-manager/src-v2/ui/components/uploadImage/index.jsx	1755
webpack://seismic-content-manager/src-v2/service/api/content-manager-ms-service.js	1739
webpack://seismic-content-manager/src-v2/ui/components/common-components/flat-action-bar/actions-dropdown/index.jsx	1607
webpack://seismic-content-manager/src-v2/events/contentViewV2.js	1591
webpack://seismic-content-manager/src-v2/ui/features/uniquePermissions/permissionList/permissionList.jsx	1578
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/required-properties-validator/required-properties-validator.js	1484
webpack://seismic-content-manager/src-v2/model/expiration-date.js	1482
webpack://seismic-content-manager/src-v2/ui/features/publish/index.jsx	1474
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/collectionList/collectionList.jsx	1463
webpack://seismic-content-manager/src-v2/ui/features/uniquePermissions/listItem/itemWithRestrictions/itemWithRestrictions.jsx	1343
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/no-collection/no-collection.jsx	1294
webpack://seismic-content-manager/src-v2/service/fileUploadQueue.js	1215
webpack://seismic-content-manager/src-v2/ui/components/dialog/submit/isSubmitterCheck.js	1182
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/listItem/itemWithCheckbox/itemWithCheckbox.jsx	1163
webpack://seismic-content-manager/src-v2/ui/components/uploadImage/Select/Item.jsx	1124
webpack://seismic-content-manager/src-v2/ui/components/uploadImage/Select/List.jsx	1109
webpack://seismic-content-manager/src-v2/model/microapp.js	1099
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/com-components/notification/messageTemplate.jsx	1060
[unmapped]	1044
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/listItem/itemBase/itemBase.jsx	1042
webpack://seismic-content-manager/src-v2/ui/components/profile/profile-edit-list/profile-edit-item.jsx	1024
webpack://seismic-content-manager/src-v2/ui/features/contentPlanning/meta-components/status.jsx	966
webpack://seismic-content-manager/src-v2/ui/components/mantle-icon-converter/svg/promote-svg.jsx	942
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/listItem/itemWithMultipleThumbnail/itemWithMultipleThumbnail.jsx	922
webpack://seismic-content-manager/src-v2/ui/views/content_new/content-business.js	904
webpack://seismic-content-manager/src-v2/ui/components/editable-component/editable-multivalue-next-ui/selectable-item.jsx	884
webpack://seismic-content-manager/src-v2/ui/components/publishInfo/profile-item.jsx	738
webpack://seismic-content-manager/src-v2/ui/features/simplifyPublish/com-components/notification/infoTemplate.jsx	732
