Source	Size
webpack://seismic-content-manager/node_modules/lodash/_baseClone.js	1473
[no source]	926
webpack://seismic-content-manager/node_modules/lodash/_initCloneByTag.js	694
webpack://seismic-content-manager/node_modules/lodash/_arrayLikeKeys.js	396
webpack://seismic-content-manager/node_modules/lodash/_stackSet.js	249
webpack://seismic-content-manager/node_modules/lodash/_Stack.js	238
webpack://seismic-content-manager/node_modules/lodash/_cloneBuffer.js	230
webpack://seismic-content-manager/node_modules/lodash/_baseKeysIn.js	203
webpack://seismic-content-manager/node_modules/lodash/_getSymbols.js	203
webpack://seismic-content-manager/node_modules/lodash/_copyObject.js	198
webpack://seismic-content-manager/node_modules/lodash/_initCloneArray.js	188
webpack://seismic-content-manager/node_modules/lodash/_baseCreate.js	183
webpack://seismic-content-manager/node_modules/lodash/_getSymbolsIn.js	149
webpack://seismic-content-manager/node_modules/lodash/_cloneDataView.js	124
[unmapped]	123
webpack://seismic-content-manager/node_modules/lodash/_cloneTypedArray.js	120
webpack://seismic-content-manager/node_modules/lodash/_arrayFilter.js	118
webpack://seismic-content-manager/node_modules/lodash/_initCloneObject.js	116
webpack://seismic-content-manager/node_modules/lodash/_cloneRegExp.js	114
webpack://seismic-content-manager/node_modules/lodash/_cloneSymbol.js	113
webpack://seismic-content-manager/node_modules/lodash/_cloneArrayBuffer.js	109
webpack://seismic-content-manager/node_modules/lodash/_arrayEach.js	95
webpack://seismic-content-manager/node_modules/lodash/_copyArray.js	92
webpack://seismic-content-manager/node_modules/lodash/_arrayPush.js	89
webpack://seismic-content-manager/node_modules/lodash/_baseGetAllKeys.js	88
webpack://seismic-content-manager/node_modules/lodash/_nativeKeysIn.js	86
webpack://seismic-content-manager/node_modules/lodash/keysIn.js	86
webpack://seismic-content-manager/node_modules/lodash/_baseIsMap.js	84
webpack://seismic-content-manager/node_modules/lodash/_baseIsSet.js	84
webpack://seismic-content-manager/node_modules/lodash/_stackDelete.js	84
webpack://seismic-content-manager/node_modules/lodash/keys.js	81
webpack://seismic-content-manager/node_modules/lodash/_getAllKeysIn.js	77
webpack://seismic-content-manager/node_modules/lodash/_baseTimes.js	76
webpack://seismic-content-manager/node_modules/lodash/_getAllKeys.js	76
[sourceMappingURL]	76
webpack://seismic-content-manager/node_modules/lodash/_baseAssignIn.js	74
webpack://seismic-content-manager/node_modules/lodash/_baseAssign.js	73
webpack://seismic-content-manager/node_modules/lodash/isMap.js	73
webpack://seismic-content-manager/node_modules/lodash/isSet.js	73
webpack://seismic-content-manager/node_modules/lodash/_copySymbols.js	71
webpack://seismic-content-manager/node_modules/lodash/_copySymbolsIn.js	71
webpack://seismic-content-manager/node_modules/lodash/_stackClear.js	70
webpack://seismic-content-manager/node_modules/lodash/_getPrototype.js	57
webpack://seismic-content-manager/node_modules/lodash/cloneDeep.js	53
webpack://seismic-content-manager/node_modules/lodash/_stackGet.js	52
webpack://seismic-content-manager/node_modules/lodash/_stackHas.js	52
webpack://seismic-content-manager/node_modules/lodash/_Uint8Array.js	39
webpack://seismic-content-manager/node_modules/lodash/stubArray.js	35
[EOLs]	1
