Source	Size
[no source]	8241
webpack://seismic-content-manager/src-v2/ui/sharedComponents/tag-value-components/tag-value-with-remove.jsx	1535
webpack://seismic-content-manager/src-v2/ui/components/mantle-icon-converter/svg/launch-form-svg.jsx	1439
webpack://seismic-content-manager/src-v2/ui/components/common-components/input-box/index.jsx	1381
[unmapped]	1176
webpack://seismic-content-manager/src-v2/utilities/action-list/plugin/checked-out.js	1007
webpack://seismic-content-manager/src-v2/ui/sharedComponents/tag-value-components/date-tag-value.jsx	907
webpack://seismic-content-manager/src-v2/ui/sharedComponents/tag-value-components/tag-value.jsx	793
webpack://seismic-content-manager/src-v2/utilities/util/lazyLoadReact.jsx	672
webpack://seismic-content-manager/src-v2/ui/components/content-views/utils.js	630
webpack://seismic-content-manager/src-v2/ui/sharedComponents/tag-value-components/add-btn.jsx	598
webpack://seismic-content-manager/src-v2/ui/sharedComponents/tag-value-components/tag-name.jsx	438
webpack://seismic-content-manager/src-v2/ui/sharedComponents/tag-value-components/add-btn-with-hove.jsx	369
[sourceMappingURL]	76
[EOLs]	1
