Source	Size
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1-ms.json	152348
webpack://seismic-content-manager/assets/i18n/locale-data/en-US/en-US.json	113834
webpack://seismic-content-manager/node_modules/jquery/dist/jquery.js	89865
webpack://seismic-content-manager/assets/swagger/schema/ContentSync/contentsync-service.json	64812
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1.json	62576
webpack://seismic-content-manager/node_modules/i18next/dist/esm/i18next.js	40742
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1-cms.json	33073
webpack://seismic-content-manager/node_modules/buffer/index.js	25050
webpack://seismic-content-manager/node_modules/sax/lib/sax.js	18983
webpack://seismic-content-manager/src-v2/ui/layout/layout.jsx	18854
webpack://seismic-content-manager/src-v2/service/content-manage-service.js	17762
webpack://seismic-content-manager/assets/swagger/schema/collections/collection-service.json	17599
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1-dataSource.json	13099
webpack://seismic-content-manager/src-v2/utilities/zip.js	12210
webpack://seismic-content-manager/src-v2/utilities/util.js	12032
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1-teamsiteActivity.json	11837
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1-workflow.json	11392
webpack://seismic-content-manager/src-v2/utilities/common/constant.js	11213
webpack://seismic-content-manager/src-v2/model/default-column-setting.jsx	9088
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1-contentViews.json	8996
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v2-resource.json	8503
webpack://seismic-content-manager/src-v2/service/content-views/content-views-management.js	8261
webpack://seismic-content-manager/assets/swagger/schema/BSS/blobstorage-service.json	7973
webpack://seismic-content-manager/assets/swagger/schema/contentmanager-v1-bulkUpdate.json	7691
webpack://seismic-content-manager/src-v2/utilities/common/navigation.js	7649
webpack://seismic-content-manager/src-v2/ui/components/secondary-navigation-next-ui/components/detail/index.jsx	7577
