Source	Size
webpack://SeismicDeliveryOptions/src/delivery-options.business.js	29231
webpack://SeismicDeliveryOptions/src/libs/ng-tags-input-customed/ng-tags-input.min.js	16086
webpack://SeismicDeliveryOptions/src/printblast/printblast.controller.js	14473
webpack://SeismicDeliveryOptions/src/sendbyemailblast/emailblast.js	13282
webpack://SeismicDeliveryOptions/src/movecopy/movecopy.controller.js	7524
webpack://SeismicDeliveryOptions/src/delivery-options.controller.js	7300
webpack://SeismicDeliveryOptions/src/movepersonalcontent/movepersonalcontent.controller.js	7295
webpack://SeismicDeliveryOptions/src/sendbyemail/email.controller.js	5944
webpack://SeismicDeliveryOptions/src/savetopersonal/saveToPersonalV2.js	5134
webpack://SeismicDeliveryOptions/src/delivery-options.model.js	3960
webpack://SeismicDeliveryOptions/src/delivery-options.constant.js	3549
webpack://SeismicDeliveryOptions/src/sfdccreatecontentdelivery/createcontentdelivery.controller.js	3527
webpack://SeismicDeliveryOptions/src/createsharelink/createsharelink.controller.js	2692
webpack://SeismicDeliveryOptions/src/remove/remove.js	2669
webpack://SeismicDeliveryOptions/src/sfdcposttochatter/posttochatter.controller.js	2359
webpack://SeismicDeliveryOptions/src/LiveSendQuickShare/livesendquickshare.js	2047
webpack://SeismicDeliveryOptions/src/rename/rename.controller.js	1993
webpack://SeismicDeliveryOptions/src/savetosharepoint/savetosharepoint.controller.js	1908
webpack://SeismicDeliveryOptions/src/createmeeting/createmeeting.js	1825
webpack://SeismicDeliveryOptions/src/savetopersonal/savetopersonal.js	1720
webpack://SeismicDeliveryOptions/src/download/download.js	1456
webpack://SeismicDeliveryOptions/src/sfdcsaveasattachment/saveasattachment.controller.js	1286
webpack://SeismicDeliveryOptions/src/customwithform/customwithform.controller.js	1242
webpack://SeismicDeliveryOptions/src/lockunlock/lockunlock.js	1174
webpack://SeismicDeliveryOptions/src/sfdccreatecontent/createcontent.controller.js	1143
webpack://SeismicDeliveryOptions/src/sendbyemail/email.js	1074
webpack://SeismicDeliveryOptions/src/customwithoutform/customwithoutform.js	1031
webpack://SeismicDeliveryOptions/src/onlineedit/onlineedit.controller.js	1014
webpack://SeismicDeliveryOptions/src/delivery-options.common.js	940
webpack://SeismicDeliveryOptions/src/printblast/printblast.js	938
webpack://SeismicDeliveryOptions/src/sfdccreatecontentdelivery/createcontentdelivery.js	893
webpack://SeismicDeliveryOptions/src/addtocart/addtocart.js	862
webpack://SeismicDeliveryOptions/src/sfdccreatecontent/createcontent.js	861
webpack://SeismicDeliveryOptions/src/delivery-options.directive.js	853
webpack://SeismicDeliveryOptions/src/sfdcsaveasattachment/saveasattachment.js	837
webpack://SeismicDeliveryOptions/src/movecopy/movecopy.js	794
webpack://SeismicDeliveryOptions/src/clearcart/clearcart.js	778
webpack://SeismicDeliveryOptions/src/movepersonalcontent/movepersonalcontent.js	756
webpack://SeismicDeliveryOptions/src/sfdcposttochatter/posttochatter.js	732
webpack://SeismicDeliveryOptions/src/savetosalesforce/savetosalesforce.js	670
webpack://SeismicDeliveryOptions/src/setascurrent/setascurrent.js	667
webpack://SeismicDeliveryOptions/src/customwithform/customwithform.js	666
webpack://SeismicDeliveryOptions/src/copytouserdrive/copytouserdrive.js	635
webpack://SeismicDeliveryOptions/src/createsharelink/createsharelink.js	593
webpack://SeismicDeliveryOptions/src/delivery-success/deliverysuccess.controller.js	590
webpack://SeismicDeliveryOptions/src/rename/rename.js	585
webpack://SeismicDeliveryOptions/lib/index.js	548
webpack://SeismicDeliveryOptions/src/request-history/request-history.js	529
webpack://SeismicDeliveryOptions/lib/atob.js	510
webpack://SeismicDeliveryOptions/src/savetosharepoint/savetosharepoint.js	479
webpack://SeismicDeliveryOptions/src/tree-view/tree-view.js	478
webpack://SeismicDeliveryOptions/src/onlineedit/onlineedit.js	460
webpack://SeismicDeliveryOptions/src/liveshare/liveshare.js	424
webpack://SeismicDeliveryOptions/lib/base64_url_decode.js	370
webpack://SeismicDeliveryOptions/webpack/universalModuleDefinition	283
webpack://SeismicDeliveryOptions/src/sendbyemail/tags-input-label.js	282
webpack://SeismicDeliveryOptions/node_modules/@seismic/toolchain-scripts/webpack/manifest/setPublicPath.js	254
webpack://SeismicDeliveryOptions/webpack/runtime/make namespace object	175
webpack://SeismicDeliveryOptions/src/delivery-options.module.js	145
webpack://SeismicDeliveryOptions/webpack/bootstrap	122
[unmapped]	108
[sourceMappingURL]	78
webpack://SeismicDeliveryOptions/external assign "__global_module_registers__[\"seismic-common\"]"	48
webpack://SeismicDeliveryOptions/webpack/runtime/publicPath	23
[EOLs]	2
