Source	Size
webpack://seismic-page-widgets/external assign "__global_module_registers__[\"styled-components\"]"	154096
[unmapped]	96304
webpack://seismic-page-widgets/node_modules/react-beautiful-dnd/dist/react-beautiful-dnd.esm.js	87614
webpack://seismic-page-widgets/node_modules/react-tooltip/dist/index.es.js	42867
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/strings.js	35738
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-modal/setting-content/index.tsx	20484
webpack://seismic-page-widgets/node_modules/react-responsive/dist/react-responsive.js	19299
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/map.js	17649
webpack://seismic-page-widgets/src/widgets/collection.section/components/add-content-group-modal/index.tsx	16760
webpack://seismic-page-widgets/src/widgets/collection.section/components/layout-modal.tsx	16517
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/async.js	14704
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/charCode.js	14492
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/event.js	13658
webpack://seismic-page-widgets/src/service/collection/custom.ts	12955
webpack://seismic-page-widgets/src/seismic-init/index.tsx	11904
webpack://seismic-page-widgets/src/service/bss/index.ts	11766
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/path.js	11649
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/index.tsx	11582
webpack://seismic-page-widgets/src/util/index.tsx	8977
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/arrays.js	8420
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/color.js	8319
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/keyCodes.js	7648
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/filters.js	7121
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/uri.js	6944
webpack://seismic-page-widgets/src/assets/images/index.tsx	6389
webpack://seismic-page-widgets/src/widgets/collection.section/components/add-bar.tsx	6165
webpack://seismic-page-widgets/node_modules/react-truncate/lib/Truncate.js	5765
webpack://seismic-page-widgets/src/widgets/collection.section/components/editor.tsx	5602
webpack://seismic-page-widgets/src/widgets/collection.section/components/ChoseSourceType/index.tsx	5578
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/lifecycle.js	4569
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/iterator.js	4046
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/types.js	3694
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/components/panel-title.tsx	3215
webpack://seismic-page-widgets/src/assets/icons/index.tsx	3183
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/errors.js	3114
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/linkedList.js	2967
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/platform.js	2934
webpack://seismic-page-widgets/node_modules/react-redux/es/components/connectAdvanced.js	2893
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/objects.js	2771
webpack://seismic-page-widgets/node_modules/redux/es/redux.js	2717
webpack://seismic-page-widgets/src/service/collection/rulesToServer.js	2669
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/network.js	2660
webpack://seismic-page-widgets/src/widgets/collection.section/components/placeholder-readonly.tsx	2591
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/date.js	2585
webpack://seismic-page-widgets/src/widgets/collection.section/components/viewer.tsx	2550
webpack://seismic-page-widgets/node_modules/util-kit/lib/index.js	2530
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/decorators.js	2494
webpack://seismic-page-widgets/src/widgets/collection.section/components/placeholder-editable.tsx	2494
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/components/panel-des.tsx	2323
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group-wrapper.tsx	2321
webpack://seismic-page-widgets/node_modules/hoist-non-react-statics/node_modules/react-is/cjs/react-is.production.min.js	2145
webpack://seismic-page-widgets/src/assets/swagger/index.ts	2076
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/cancellation.js	1979
webpack://seismic-page-widgets/node_modules/@seismic/toolchain-scripts/webpack/setPublicPath.js	1764
webpack://seismic-page-widgets/src/seismic-init/mantle-wrapper.tsx	1664
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/sequence.js	1559
webpack://seismic-page-widgets/node_modules/css-box-model/dist/css-box-model.esm.js	1557
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/components/panel-header.tsx	1455
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/components/container.tsx	1455
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/responsive-item.tsx	1361
webpack://seismic-page-widgets/node_modules/react-redux/es/connect/connect.js	1219
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/five-item.tsx	1181
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/four-item.tsx	1178
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/three-item.tsx	1156
webpack://seismic-page-widgets/src/constants/index.ts	1143
webpack://seismic-page-widgets/src/service/collection/content.js	1087
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-modal/manual.tsx	996
webpack://seismic-page-widgets/node_modules/hoist-non-react-statics/dist/hoist-non-react-statics.cjs.js	975
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/one-item.tsx	934
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/components/Thumbnail.tsx	909
webpack://seismic-page-widgets/external assign "ReactCustomScrollbars"	885
webpack://seismic-page-widgets/node_modules/react-redux/es/utils/Subscription.js	882
webpack://seismic-page-widgets/node_modules/react-is/cjs/react-is.production.min.js	870
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-group/two-item.tsx	821
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/process.js	821
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-modal/pick-content.tsx	810
webpack://seismic-page-widgets/src/widgets/collection.section/editor.tsx	779
webpack://seismic-page-widgets/src/widgets/collection.section/components/content-modal/dynamic.tsx	772
webpack://seismic-page-widgets/node_modules/react-redux/es/connect/selectorFactory.js	729
webpack://seismic-page-widgets/external assign "__global_module_registers__[\"seismic-image-picker\"]"	725
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/uuid.js	704
webpack://seismic-page-widgets/src/widgets/collection.section/components/utils.ts	690
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/numbers.js	632
webpack://seismic-page-widgets/node_modules/@babel/runtime/helpers/esm/objectSpread2.js	580
webpack://seismic-page-widgets/node_modules/react-redux/es/connect/wrapMapToProps.js	556
webpack://seismic-page-widgets/node_modules/classnames/index.js	552
webpack://seismic-page-widgets/node_modules/use-memo-one/dist/use-memo-one.esm.js	466
webpack://seismic-page-widgets/node_modules/react-redux/es/components/Provider.js	444
webpack://seismic-page-widgets/node_modules/memoize-one/dist/memoize-one.esm.js	409
webpack://seismic-page-widgets/node_modules/uuid/dist/esm-browser/rng.js	388
webpack://seismic-page-widgets/node_modules/react-redux/es/utils/shallowEqual.js	358
webpack://seismic-page-widgets/node_modules/react-redux/es/connect/mergeProps.js	320
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/nls.js	313
webpack://seismic-page-widgets/node_modules/uuid/dist/esm-browser/bytesToUuid.js	297
webpack://seismic-page-widgets/external assign "Moment"	258
webpack://seismic-page-widgets/node_modules/raf-schd/dist/raf-schd.esm.js	257
webpack://seismic-page-widgets/src/widgets/collection.section/context.ts	220
webpack://seismic-page-widgets/node_modules/uuid/dist/esm-browser/v4.js	220
webpack://seismic-page-widgets/node_modules/@babel/runtime/helpers/esm/extends.js	211
webpack://seismic-page-widgets/node_modules/react-redux/es/connect/mapDispatchToProps.js	210
webpack://seismic-page-widgets/node_modules/util-kit/lib/vs/base/common/functional.js	194
webpack://seismic-page-widgets/webpack/runtime/make namespace object	175
webpack://seismic-page-widgets/node_modules/@babel/runtime/helpers/esm/objectWithoutPropertiesLoose.js	172
webpack://seismic-page-widgets/webpack/runtime/global	165
