Source	Size
webpack://seismic-predictive-content/node_modules/jquery/dist/jquery.js	89868
webpack://seismic-predictive-content/node_modules/lodash/lodash.js	70727
webpack://seismic-predictive-content/node_modules/i18next/dist/cjs/i18next.js	54110
webpack://seismic-predictive-content/node_modules/tooltipster/dist/js/tooltipster.bundle.min.js	39794
webpack://seismic-predictive-content/node_modules/@babel/runtime/helpers/esm/typeof.js	15456
webpack://seismic-predictive-content/src/service/PredictiveService.js	10897
webpack://seismic-predictive-content/src/content/content.jsx	10661
webpack://seismic-predictive-content/src/views/main/main.jsx	10402
webpack://seismic-predictive-content/src/model/predictiveModel.js	8438
webpack://seismic-predictive-content/src/components/tile-item/tile-item.jsx	7995
webpack://seismic-predictive-content/src/components/list-item/list-item.jsx	7748
webpack://seismic-predictive-content/src/views/ask/ask.jsx	7327
webpack://seismic-predictive-content/src/views/info/info.jsx	6733
webpack://seismic-predictive-content/src/container/container.jsx	6477
webpack://seismic-predictive-content/src/components/group/group-content.jsx	6429
webpack://seismic-predictive-content/src/views/rightpanel-bar/rightpanel-bar.jsx	6288
webpack://seismic-predictive-content/src/components/icon/action-icons.jsx	6068
webpack://seismic-predictive-content/src/views/review/review.jsx	5913
webpack://seismic-predictive-content/node_modules/react-i18next/dist/es/Trans.js	5550
webpack://seismic-predictive-content/src/views/detail-panel/detail-panel.jsx	4728
webpack://seismic-predictive-content/src/components/PredictiveSecondNavigationDetail/index.jsx	4585
webpack://seismic-predictive-content/src/components/group/group.jsx	4249
webpack://seismic-predictive-content/src/components/tool-tip/thumbnail-tool-tip.jsx	4198
webpack://seismic-predictive-content/src/components/toolbar/toolbar.jsx	3707
webpack://seismic-predictive-content/src/components/contentRelevance/contentRelevance.jsx	3694
webpack://seismic-predictive-content/node_modules/immutability-helper/index.js	3681
webpack://seismic-predictive-content/src/components/live-insight/live-insight.jsx	3418
webpack://seismic-predictive-content/src/components/instruction-box/instruction-box.jsx	3280
webpack://seismic-predictive-content/src/service/CRMService.js	3276
webpack://seismic-predictive-content/src/components/tool-tip/tool-tip.jsx	3008
webpack://seismic-predictive-content/src/components/filter/filter.jsx	3002
webpack://seismic-predictive-content/src/components/busy/busy-logo.jsx	2991
webpack://seismic-predictive-content/src/service/PredictiveHelperService.js	2977
webpack://seismic-predictive-content/src/components/title-bar/title-bar-item.jsx	2751
webpack://seismic-predictive-content/node_modules/i18next-xhr-backend/dist/esm/i18nextXHRBackend.js	2689
webpack://seismic-predictive-content/src/components/filter/tag-group.jsx	2585
webpack://seismic-predictive-content/src/seismic.init.business/seismicInitBusiness.js	2551
webpack://seismic-predictive-content/src/components/title-bar/title-bar.jsx	2516
webpack://seismic-predictive-content/src/components/star/star.jsx	2429
webpack://seismic-predictive-content/src/components/live-insight/docV2-liveInsight.jsx	2363
webpack://seismic-predictive-content/src/components/predictive-nav/predictive-nav-container.jsx	2344
webpack://seismic-predictive-content/src/components/icon/icon.jsx	2338
webpack://seismic-predictive-content/src/components/ellipsis/one-line-ellipsis.jsx	2324
webpack://seismic-predictive-content/src/components/rightpanel-header/rightpanel-header.jsx	2266
webpack://seismic-predictive-content/src/predictive.jsx	2201
webpack://seismic-predictive-content/src/components/rating/rating.jsx	2180
webpack://seismic-predictive-content/node_modules/react-i18next/dist/es/useTranslation.js	2179
webpack://seismic-predictive-content/src/components/easFlow/no-connection/noConnection.jsx	2113
webpack://seismic-predictive-content/src/components/legacyFlow/no-connection/noConnection.jsx	2052
webpack://seismic-predictive-content/node_modules/html-parse-stringify/dist/html-parse-stringify.module.js	2046
webpack://seismic-predictive-content/src/components/easFlow/no-system/noSystem.jsx	2027
webpack://seismic-predictive-content/src/components/group/group-head.jsx	2005
webpack://seismic-predictive-content/src/components/filter/tag.jsx	2002
webpack://seismic-predictive-content/src/core/commonServiceProvider.js	1982
webpack://seismic-predictive-content/src/utility/embedded-sdk.js	1960
webpack://seismic-predictive-content/src/components/easFlow/connectionLost/connectionLost.jsx	1892
