Source	Size
webpack://seismic-profilebuilder/external assign "ReactDOM"	129693
webpack://seismic-profilebuilder/external assign "Moment"	63923
webpack://seismic-profilebuilder/src/refactor/profile-builder.js	45702
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/strings.js	35738
webpack://seismic-profilebuilder/src/components/attachedHeader.jsx	29530
webpack://seismic-profilebuilder/src/components/contentSettings/contentSettings.jsx	25131
webpack://seismic-profilebuilder/src/components/landingPageTemplate/index.jsx	20866
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/map.js	17649
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/async.js	14704
webpack://seismic-profilebuilder/node_modules/tinycolor2/tinycolor.js	14512
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/charCode.js	14492
webpack://seismic-profilebuilder/src/components/contentOrganizor/index.jsx	14095
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/event.js	13658
webpack://seismic-profilebuilder/src/components/contentOrganizor/contentList.jsx	12785
webpack://seismic-profilebuilder/src/components/profileBuilderApp.jsx	12188
webpack://seismic-profilebuilder/src/components/profile/profile-settings/general/profileGeneralSettingTab.jsx	12036
webpack://seismic-profilebuilder/src/profile-builder.jsx	11999
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/path.js	11649
webpack://seismic-profilebuilder/src/components/profile/profile-settings/profileSettingsDialog.jsx	11139
webpack://seismic-profilebuilder/src/components/profile/profile-settings/brand-settings/profileBrandSettingsTab.jsx	10778
webpack://seismic-profilebuilder/src/components/profile/add-profile/profile-configuration.jsx	10383
webpack://seismic-profilebuilder/src/components/dynamicFolder/buildSchema.js	9777
webpack://seismic-profilebuilder/src/services/landingPageTemplate.js	9728
webpack://seismic-profilebuilder/src/components/contentPicker/contentPicker.jsx	9663
webpack://seismic-profilebuilder/src/components/contentMenuBar/contentUpdateDialog/contentUpdateDialogNew.jsx	9259
webpack://seismic-profilebuilder/src/components/landingPageTemplate/CreatePage.tsx	9158
webpack://seismic-profilebuilder/src/components/dynamicFolder/conditionsTable.jsx	8953
webpack://seismic-profilebuilder/src/components/dynamicFolder/createDialog.jsx	8688
webpack://seismic-profilebuilder/src/components/profile/profile-settings/profileSettings.jsx	8639
webpack://seismic-profilebuilder/src/services/profiles.js	8632
webpack://seismic-profilebuilder/node_modules/lodash.clonedeep/index.js	8462
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/arrays.js	8420
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/color.js	8319
webpack://seismic-profilebuilder/node_modules/react-modal/lib/components/ModalPortal.js	7971
webpack://seismic-profilebuilder/node_modules/get-intrinsic/index.js	7845
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/keyCodes.js	7648
webpack://seismic-profilebuilder/src/components/dynamicFolder/rulesPanel.jsx	7607
webpack://seismic-profilebuilder/src/components/profilePicker/index.jsx	7501
webpack://seismic-profilebuilder/src/components/profile/profile-settings/userSelector/profileUserSettingTab.jsx	7090
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/uri.js	6944
webpack://seismic-profilebuilder/src/components/common/uniquePermissionsPanel/index.jsx	6707
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/filters.js	6638
webpack://seismic-profilebuilder/src/refactor/patch-business.js	6586
webpack://seismic-profilebuilder/src/components/profile/profile-settings/userSelector/userItem.jsx	6515
webpack://seismic-profilebuilder/src/components/profile/add-profile/profile-create-modal.jsx	6476
webpack://seismic-profilebuilder/src/components/contentOrganizor/data-grid.tsx	6474
webpack://seismic-profilebuilder/src/components/addActionButton/addActionButton.jsx	6083
webpack://seismic-profilebuilder/src/components/landingPage/index.jsx	5913
webpack://seismic-profilebuilder/node_modules/react-modal/lib/components/Modal.js	5815
webpack://seismic-profilebuilder/node_modules/fast-json-patch-map/lib/core.js	5784
webpack://seismic-profilebuilder/src/components/profilePicker/profilesStatusBar.jsx	5757
webpack://seismic-profilebuilder/src/refactor/content-business.js	5604
webpack://seismic-profilebuilder/src/components/react-truncate/Truncate.js	5543
webpack://seismic-profilebuilder/src/components/dynamicFolder/previewPanel.jsx	5452
webpack://seismic-profilebuilder/node_modules/react-router/esm/react-router.js	5389
webpack://seismic-profilebuilder/node_modules/react-color/es/components/chrome/ChromeFields.js	5320
webpack://seismic-profilebuilder/src/components/globalstyle/simpleDialog/SimpleDialog.jsx	5136
webpack://seismic-profilebuilder/src/components/contentPicker/data-grid.tsx	5057
webpack://seismic-profilebuilder/src/components/seismicStyle/confirmationDialog/confirmationDialog.jsx	4954
webpack://seismic-profilebuilder/src/components/addFolderDialog/folderDialog.jsx	4714
webpack://seismic-profilebuilder/src/components/pagination/index.jsx	4603
webpack://seismic-profilebuilder/src/components/common/deliveryOptionsPanel/index.jsx	4586
webpack://seismic-profilebuilder/node_modules/history/esm/history.js	4549
webpack://seismic-profilebuilder/src/components/profileView/getContents.js	4388
webpack://seismic-profilebuilder/src/components/contentMenuBar/contentMenuBar.jsx	4328
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/lifecycle.js	4263
webpack://seismic-profilebuilder/src/refactor/services.js	4191
webpack://seismic-profilebuilder/src/components/dynamicFolder/structureTable.jsx	4137
webpack://seismic-profilebuilder/src/components/treePanel/index.jsx	4117
webpack://seismic-profilebuilder/src/components/globalstyle/MiddleNameThreeDots/index.jsx	4106
webpack://seismic-profilebuilder/src/components/seismicStyle/messageDialog/messageDialog.jsx	4094
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/iterator.js	4046
webpack://seismic-profilebuilder/src/components/imagePicker/index.jsx	3976
webpack://seismic-profilebuilder/src/components/seismicStyle/textbox/textbox.jsx	3933
webpack://seismic-profilebuilder/node_modules/react-color/es/components/common/EditableInput.js	3844
webpack://seismic-profilebuilder/node_modules/react-redux/es/components/connectAdvanced.js	3835
webpack://seismic-profilebuilder/src/components/common/commonDialog/commonDialog.jsx	3745
webpack://seismic-profilebuilder/src/components/profileBuilderAppNav.jsx	3736
webpack://seismic-profilebuilder/src/components/contentOrganizor/tableList.jsx	3735
webpack://seismic-profilebuilder/node_modules/util-kit/lib/vs/base/common/types.js	3694
webpack://seismic-profilebuilder/node_modules/fast-json-patch-map/lib/duplex.js	3622
webpack://seismic-profilebuilder/src/components/common/infoDialog/infoDialog.jsx	3620
webpack://seismic-profilebuilder/node_modules/react-color/es/components/common/Saturation.js	3552
webpack://seismic-profilebuilder/src/components/profile/profile-settings/notification/profileNotificationSettingTab.jsx	3539
webpack://seismic-profilebuilder/node_modules/react-color/es/components/common/Hue.js	3415
webpack://seismic-profilebuilder/node_modules/react-color/es/components/common/Alpha.js	3368
webpack://seismic-profilebuilder/src/components/contentRename/contentRename.jsx	3326
webpack://seismic-profilebuilder/src/common/helpers/utils.js	3323
webpack://seismic-profilebuilder/src/components/dynamicFolder/constants.js	3278
