Source	Size
webpack://seismic-search/node_modules/lodash/lodash.js?188c	70737
webpack://seismic-search/node_modules/i18next/dist/esm/i18next.js?b78c	52361
webpack://seismic-search/node_modules/nanoid/non-secure/index.cjs?9055	35164
webpack://seismic-search/src/components/search-bar/components/Search-OmniBar.jsx	18655
webpack://seismic-search/node_modules/htmlparser2/lib/Tokenizer.js?73d4	13574
webpack://seismic-search/node_modules/dom-align/dist-web/index.js?cc6b	13173
webpack://seismic-search/node_modules/rc-trigger/es/index.js?61d6	11550
webpack://seismic-search/node_modules/intl-messageformat-parser/lib/parser.js?d4fa	10109
webpack://seismic-search/node_modules/react-autocomplete/build/lib/Autocomplete.js?731e	9861
webpack://seismic-search/node_modules/sanitize-html/index.js?4909	8585
webpack://seismic-search/src/components/search-bar/core/helper.js	7374
webpack://seismic-search/node_modules/postcss/lib/parser.js?fd8d	6913
webpack://seismic-search/node_modules/regenerator-runtime/runtime.js?5e9d	6516
webpack://seismic-search/node_modules/postcss/lib/lazy-result.js?776e	6397
webpack://seismic-search/node_modules/htmlparser2/lib/Parser.js?eca0	6271
webpack://seismic-search/node_modules/domhandler/lib/node.js?50ec	5670
webpack://seismic-search/src/components/search-bar/components/TagInput/index.jsx	5348
webpack://seismic-search/node_modules/create-react-class/factory.js?82e6	5217
webpack://seismic-search/node_modules/postcss/lib/container.js?ec7a	5123
webpack://seismic-search/node_modules/postcss/lib/map-generator.js?6645	5060
webpack://seismic-search/node_modules/i18next-icu/dist/es/index.js?10ce	4732
webpack://seismic-search/node_modules/rc-animate/es/Animate.js?bfc4	4216
webpack://seismic-search/node_modules/htmlparser2/lib/FeedHandler.js?ddb0	4176
webpack://seismic-search/node_modules/postcss/lib/node.js?674a	4156
webpack://seismic-search/node_modules/rc-trigger/es/Popup.js?07a5	4138
webpack://seismic-search/node_modules/postcss/lib/stringifier.js?af52	4114
webpack://seismic-search/node_modules/dom-scroll-into-view/lib/util.js?65ff	3993
webpack://seismic-search/src/components/search-bar/components/SearchItem-Type-Ahead.jsx	3807
webpack://seismic-search/src/components/search-bar/components/SearchMenu/components/RecentSearch/RecentSearch.jsx	3573
webpack://seismic-search/node_modules/babel-runtime/node_modules/core-js/library/modules/es6.symbol.js?7f7b	3415
webpack://seismic-search/src/components/search-bar/components/SearchMenu/components/RecentView/RecentView.jsx	3358
webpack://seismic-search/src/components/search-bar/components/RecentModal/recentModalHelper.js	3219
webpack://seismic-search/node_modules/dom-serializer/lib/foreignNames.js?44e2	3176
webpack://seismic-search/src/components/search-bar/components/TagInput/tag.jsx	3074
webpack://seismic-search/node_modules/intl-messageformat/lib/core.js?e4e0	2933
webpack://seismic-search/node_modules/add-dom-event-listener/lib/EventObject.js?d357	2917
webpack://seismic-search/src/components/search-bar/components/SearchMenu/SearchMenu.jsx	2913
webpack://seismic-search/node_modules/domhandler/lib/index.js?9ecf	2893
webpack://seismic-search/node_modules/postcss/lib/input.js?2e33	2884
webpack://seismic-search/node_modules/rc-util/es/ContainerRender.js?5ccc	2876
webpack://seismic-search/src/components/search-bar/components/SearchMenu/components/RecentView/RecentViewItem.jsx	2789
webpack://seismic-search/node_modules/dom-serializer/lib/index.js?fe93	2646
webpack://seismic-search/node_modules/intl-messageformat/lib/compiler.js?90f9	2636
webpack://seismic-search/src/components/search-bar/core/trace/snowflakeTypeaheadEvent.js	2569
webpack://seismic-search/src/components/search-bar/components/SearchMenu/components/RecentView/HostIcon.jsx	2454
webpack://seismic-search/src/components/search-bar/components/RecentModal/components/RecentView/RecentView.jsx	2390
webpack://seismic-search/node_modules/postcss/lib/tokenize.js?d7b7	2376
webpack://seismic-search/node_modules/rc-align/es/Align.js?8036	2362
webpack://seismic-search/node_modules/react-highlighter/lib/highlighter.js?f25e	2362
webpack://seismic-search/node_modules/rc-tooltip/es/Tooltip.js?6913	2359
webpack://seismic-search/node_modules/rc-util/es/Portal.js?4fcd	2347
webpack://seismic-search/node_modules/react-lifecycles-compat/react-lifecycles-compat.es.js?de2c	2334
webpack://seismic-search/node_modules/postcss/lib/previous-map.js?5711	2246
webpack://seismic-search/src/components/search-bar/components/SearchMenu/components/ContentTypes/ContentTypes.jsx	2175
webpack://seismic-search/node_modules/domutils/lib/feeds.js?2b0c	2132
webpack://seismic-search/src/components/search-bar/components/icon/CloseIcon.jsx	2094
webpack://seismic-search/src/components/search-bar/components/RecentModal/components/RecentView/RecentViewItem.jsx	2017
webpack://seismic-search/node_modules/css-animation/es/index.js?e7d0	1869
webpack://seismic-search/node_modules/htmlparser2/lib/index.js?fd1f	1793
webpack://seismic-search/src/components/search-bar/components/SearchMenu/SearchMenuAccessibility.helper.js	1760
webpack://seismic-search/node_modules/entities/lib/index.js?5c59	1600
webpack://seismic-search/node_modules/deepmerge/dist/cjs.js?fac3	1530
webpack://seismic-search/src/components/search-bar/components/SearchMenu/SearchMenu.helper.js	1512
webpack://seismic-search/node_modules/domutils/lib/legacy.js?188a	1502
webpack://seismic-search/src/components/search-bar/core/trace/deprecatedTypeAheadEvent.js	1469
webpack://seismic-search/node_modules/parse-srcset/src/parse-srcset.js?8070	1461
webpack://seismic-search/node_modules/css-animation/es/Event.js?afa3	1458
webpack://seismic-search/src/service/frecencyEventService.js	1456
