Source	Size
[no source]	182
webpack://seismic-searchquerybuilder/webpack/runtime/make namespace object	173
webpack://seismic-searchquerybuilder/webpack/runtime/define property getters	105
webpack://seismic-searchquerybuilder/node_modules/@seismic/toolchain-scripts/webpack/manifest/setPublicPath.js	103
[sourceMappingURL]	98
webpack://seismic-searchquerybuilder/webpack/runtime/hasOwnProperty shorthand	66
webpack://seismic-searchquerybuilder/src/convertToQueryLanguage.ts	14
[unmapped]	12
webpack://seismic-searchquerybuilder/webpack/bootstrap	7
webpack://seismic-searchquerybuilder/webpack/runtime/publicPath	6
[EOLs]	1
