Source	Size
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-buffer.js	3426
webpack://seismic-workspace-v2/node_modules/core-js/internals/typed-array-constructor.js	2571
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-buffer-view-core.js	2046
[no source]	2008
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.regexp.constructor.js	1762
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.number.to-fixed.js	1284
webpack://seismic-workspace-v2/node_modules/core-js/internals/ieee754.js	788
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.sort.js	726
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.set.js	595
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.array-buffer.slice.js	507
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.iterator.js	477
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.promise.all-settled.js	474
webpack://seismic-workspace-v2/node_modules/core-js/internals/typed-array-from.js	463
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.to-locale-string.js	391
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.fill.js	390
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-reduce.js	358
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-last-index-of.js	346
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-copy-within.js	303
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.regexp.to-string.js	294
webpack://seismic-workspace-v2/node_modules/core-js/internals/typed-array-constructors-require-wrappers.js	291
webpack://seismic-workspace-v2/node_modules/core-js/internals/object-to-array.js	249
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.slice.js	247
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.subarray.js	244
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.to-string.js	230
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.array.find-index.js	229
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-fill.js	205
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.map.js	203
webpack://seismic-workspace-v2/node_modules/core-js/internals/string-repeat.js	202
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.filter.js	188
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.reverse.js	183
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.last-index-of.js	179
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.reduce-right.js	175
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.copy-within.js	174
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.reduce.js	169
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.find-index.js	167
webpack://seismic-workspace-v2/node_modules/core-js/internals/regexp-get-flags.js	166
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.includes.js	165
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.index-of.js	163
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.every.js	159
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.find.js	157
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.some.js	157
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.for-each.js	156
webpack://seismic-workspace-v2/node_modules/core-js/internals/string-trim-forced.js	153
webpack://seismic-workspace-v2/node_modules/core-js/internals/to-index.js	153
webpack://seismic-workspace-v2/node_modules/core-js/internals/to-big-int.js	150
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.array-buffer.constructor.js	137
webpack://seismic-workspace-v2/node_modules/core-js/internals/proxy-accessor.js	127
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.join.js	125
webpack://seismic-workspace-v2/node_modules/core-js/internals/typed-array-species-constructor.js	124
webpack://seismic-workspace-v2/node_modules/core-js/internals/to-positive-integer.js	122
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.string.trim.js	118
[unmapped]	111
webpack://seismic-workspace-v2/node_modules/core-js/internals/is-integral-number.js	103
webpack://seismic-workspace-v2/node_modules/core-js/internals/to-offset.js	103
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.array.last-index-of.js	96
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-from-constructor-and-list.js	95
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.object.values.js	95
webpack://seismic-workspace-v2/node_modules/core-js/internals/is-big-int-array.js	94
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.data-view.constructor.js	94
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.typed-array.uint8-array.js	77
webpack://seismic-workspace-v2/node_modules/core-js/internals/array-buffer-basic-detection.js	71
[sourceMappingURL]	71
webpack://seismic-workspace-v2/node_modules/core-js/internals/typed-array-from-species-and-list.js	67
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.number.is-integer.js	56
webpack://seismic-workspace-v2/node_modules/core-js/modules/esnext.promise.all-settled.js	8
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.data-view.js	7
[EOLs]	1
