Source	Size
webpack://seismic-workspace-v2/node_modules/react-responsive/dist/react-responsive.js	21431
webpack://seismic-workspace-v2/node_modules/dom-align/dist-web/index.js	13219
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/index.js	11579
webpack://seismic-workspace-v2/node_modules/resize-observer-polyfill/dist/ResizeObserver.es.js	7636
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/regeneratorRuntime.js	6599
webpack://seismic-workspace-v2/node_modules/rc-util/es/isMobile.js	2141
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/Popup/PopupInner.js	2013
webpack://seismic-workspace-v2/node_modules/rc-motion/es/hooks/useStatus.js	1991
webpack://seismic-workspace-v2/node_modules/rc-motion/es/CSSMotionList.js	1787
webpack://seismic-workspace-v2/node_modules/rc-align/es/Align.js	1444
webpack://seismic-workspace-v2/node_modules/rc-motion/es/CSSMotion.js	1213
webpack://seismic-workspace-v2/node_modules/rc-motion/es/util/diff.js	1084
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/react-is/cjs/react-is.production.min.js	1049
webpack://seismic-workspace-v2/node_modules/rc-motion/es/util/motion.js	999
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/Popup/MobilePopupInner.js	713
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/Popup/useVisibleStatus.js	691
webpack://seismic-workspace-v2/node_modules/rc-util/es/Portal.js	628
webpack://seismic-workspace-v2/node_modules/rc-util/es/isEqual.js	606
webpack://seismic-workspace-v2/node_modules/rc-align/es/util.js	595
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/objectSpread2.js	575
webpack://seismic-workspace-v2/node_modules/rc-util/es/raf.js	531
webpack://seismic-workspace-v2/node_modules/rc-util/es/ref.js	494
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/Popup/useStretchStyle.js	491
webpack://seismic-workspace-v2/node_modules/rc-motion/es/hooks/useStepQueue.js	486
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/Popup/index.js	436
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/Popup/Mask.js	423
webpack://seismic-workspace-v2/node_modules/rc-motion/es/hooks/useDomMotionEvents.js	397
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/iterableToArrayLimit.js	394
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/@babel/runtime/helpers/esm/iterableToArrayLimit.js	394
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/objectWithoutProperties.js	342
webpack://seismic-workspace-v2/node_modules/rc-align/es/hooks/useBuffer.js	332
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/asyncToGenerator.js	320
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/inherits.js	318
webpack://seismic-workspace-v2/node_modules/rc-motion/es/hooks/useNextFrame.js	313
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/iterableToArrayLimit.js	310
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/unsupportedIterableToArray.js	302
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/@babel/runtime/helpers/esm/unsupportedIterableToArray.js	286
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/unsupportedIterableToArray.js	284
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/inherits.js	277
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/possibleConstructorReturn.js	272
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/utils/alignUtil.js	267
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/getPrototypeOf.js	265
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/createClass.js	259
webpack://seismic-workspace-v2/node_modules/rc-util/es/Dom/isVisible.js	257
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/isNativeReflectConstruct.js	253
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/isNativeReflectConstruct.js	253
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/getPrototypeOf.js	245
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/@babel/runtime/helpers/esm/typeof.js	244
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/objectWithoutProperties.js	238
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/toPrimitive.js	233
[unmapped]	232
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/typeof.js	230
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/extends.js	228
webpack://seismic-workspace-v2/node_modules/rc-util/es/Dom/addEventListener.js	228
webpack://seismic-workspace-v2/node_modules/rc-motion/es/DomWrapper.js	207
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/createSuper.js	191
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/assertThisInitialized.js	191
webpack://seismic-workspace-v2/node_modules/rc-util/es/hooks/useState.js	187
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/possibleConstructorReturn.js	175
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/arrayLikeToArray.js	174
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/nonIterableRest.js	172
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/@babel/runtime/helpers/esm/nonIterableRest.js	172
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/nonIterableRest.js	172
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/utils/legacyUtil.js	153
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/createSuper.js	151
webpack://seismic-workspace-v2/node_modules/rc-util/es/Dom/findDOMNode.js	147
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/slicedToArray.js	136
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/objectWithoutPropertiesLoose.js	132
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/defineProperty.js	125
webpack://seismic-workspace-v2/node_modules/rc-util/es/Dom/contains.js	124
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/assertThisInitialized.js	123
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/setPrototypeOf.js	121
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/@babel/runtime/helpers/esm/arrayLikeToArray.js	107
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/arrayLikeToArray.js	106
webpack://seismic-workspace-v2/node_modules/rc-motion/es/interface.js	103
webpack://seismic-workspace-v2/node_modules/rc-util/es/warning.js	101
webpack://seismic-workspace-v2/node_modules/rc-util/es/Dom/canUseDom.js	99
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/classCallCheck.js	92
[sourceMappingURL]	73
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/toPropertyKey.js	58
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/slicedToArray.js	45
webpack://seismic-workspace-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/arrayWithHoles.js	41
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/@babel/runtime/helpers/esm/arrayWithHoles.js	41
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/react-is/index.js	41
webpack://seismic-workspace-v2/node_modules/@babel/runtime/helpers/esm/arrayWithHoles.js	41
webpack://seismic-workspace-v2/node_modules/rc-motion/es/hooks/useIsomorphicLayoutEffect.js	37
webpack://seismic-workspace-v2/node_modules/rc-util/es/hooks/useLayoutEffect.js	37
webpack://seismic-workspace-v2/node_modules/rc-util/node_modules/@babel/runtime/helpers/esm/slicedToArray.js	31
webpack://seismic-workspace-v2/node_modules/rc-trigger/es/context.js	25
webpack://seismic-workspace-v2/node_modules/rc-motion/es/index.js	6
webpack://seismic-workspace-v2/node_modules/rc-align/es/index.js	3
[EOLs]	2
