Source	Size
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/FilePlayer.js	11038
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/YouTube.js	7549
webpack://seismic-workspace-v2/node_modules/react-player/lib/ReactPlayer.js	7376
webpack://seismic-workspace-v2/node_modules/react-player/lib/Player.js	7221
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/DailyMotion.js	5995
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Wistia.js	5833
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Vimeo.js	5751
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Twitch.js	5133
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/SoundCloud.js	5049
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Vidyard.js	4951
webpack://seismic-workspace-v2/node_modules/react-player/lib/Preview.js	4944
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Facebook.js	4923
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Mixcloud.js	4752
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Streamable.js	4450
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/Kaltura.js	4365
webpack://seismic-workspace-v2/node_modules/react-player/lib/patterns.js	3963
[no source]	3766
webpack://seismic-workspace-v2/node_modules/react-player/lib/utils.js	3729
webpack://seismic-workspace-v2/node_modules/react-player/lib/players/index.js	2950
webpack://seismic-workspace-v2/node_modules/react-player/lib/props.js	2521
webpack://seismic-workspace-v2/node_modules/react-fast-compare/index.js	1609
webpack://seismic-workspace-v2/node_modules/deepmerge/dist/cjs.js	1518
webpack://seismic-workspace-v2/node_modules/lodash/_equalByTag.js	818
webpack://seismic-workspace-v2/node_modules/load-script/index.js	761
webpack://seismic-workspace-v2/node_modules/lodash/_baseIsTypedArray.js	662
webpack://seismic-workspace-v2/node_modules/lodash/_equalObjects.js	661
webpack://seismic-workspace-v2/node_modules/lodash/_baseIsEqualDeep.js	604
webpack://seismic-workspace-v2/node_modules/lodash/_getTag.js	525
webpack://seismic-workspace-v2/node_modules/lodash/_equalArrays.js	520
webpack://seismic-workspace-v2/node_modules/memoize-one/dist/memoize-one.esm.js	410
webpack://seismic-workspace-v2/node_modules/lodash/_arrayLikeKeys.js	394
webpack://seismic-workspace-v2/node_modules/lodash/_baseIsMatch.js	363
webpack://seismic-workspace-v2/node_modules/lodash/_baseIsNative.js	358
webpack://seismic-workspace-v2/node_modules/lodash/memoize.js	337
webpack://seismic-workspace-v2/node_modules/lodash/_stringToPath.js	278
webpack://seismic-workspace-v2/node_modules/lodash/_Hash.js	266
webpack://seismic-workspace-v2/node_modules/lodash/_ListCache.js	266
webpack://seismic-workspace-v2/node_modules/lodash/_MapCache.js	265
webpack://seismic-workspace-v2/node_modules/lodash/_hasPath.js	264
webpack://seismic-workspace-v2/node_modules/lodash/_isKey.js	256
webpack://seismic-workspace-v2/node_modules/lodash/_baseToString.js	249
webpack://seismic-workspace-v2/node_modules/lodash/_stackSet.js	247
webpack://seismic-workspace-v2/node_modules/lodash/_Stack.js	236
webpack://seismic-workspace-v2/node_modules/lodash/_getRawTag.js	224
webpack://seismic-workspace-v2/node_modules/lodash/_nodeUtil.js	208
webpack://seismic-workspace-v2/node_modules/react-player/lib/index.js	208
webpack://seismic-workspace-v2/node_modules/lodash/isArguments.js	203
webpack://seismic-workspace-v2/node_modules/lodash/_getSymbols.js	201
webpack://seismic-workspace-v2/node_modules/lodash/_baseMatchesProperty.js	200
webpack://seismic-workspace-v2/node_modules/lodash/_SetCache.js	191
webpack://seismic-workspace-v2/node_modules/lodash/isFunction.js	189
webpack://seismic-workspace-v2/node_modules/lodash/_createBaseEach.js	187
webpack://seismic-workspace-v2/node_modules/lodash/_hashGet.js	186
webpack://seismic-workspace-v2/node_modules/lodash/_baseKeys.js	185
webpack://seismic-workspace-v2/node_modules/lodash/_baseGetTag.js	174
webpack://seismic-workspace-v2/node_modules/lodash/_baseIteratee.js	165
