Source	Size
webpack:///src/workspace/doc-view/doc-view.controller.js	39065
webpack:///src/workspace/main-view/main.controller.js	20306
webpack:///src/workspace/doc-view/_modules/bottom/bottom.controller.js	14888
webpack:///src/workspace/_modules/fileuploader/zip.js	12357
webpack:///src/workspace/doc-view/panel/comments/comments.controller.js	9104
webpack:///src/workspace/_modules/breadcrumb/breadcrumb.controller.js	8270
webpack:///src/workspace/_modules/fileuploader/blobstorage-service.json	7957
webpack:///src/workspace/_modules/collaborators/_modules/collaborators-manage/collaborators-manage.controller.js	7395
webpack:///src/workspace/_modules/fileuploader/fileuploader.service.js	6519
webpack:///src/workspace/doc-view/panel/info/info.controller.js	5704
webpack:///src/workspace/_modules/fileuploader/BSSFileuploader.service.js	3967
webpack:///src/workspace/_modules/collaborators/_modules/collaborators-invite/collaborators-invite.controller.js	2728
webpack:///seismic-workspace.moduleExport.22b7b3b38ba1e103ef95.js	2710
webpack:///src/workspace/_modules/mention/jquery.seismic_mention.js	2659
webpack:///src/workspace/_modules/collaborators/collaborators.business.js	2354
webpack:///src/workspace/_modules/collaborators/collaborators.controller.js	2294
webpack:///src/workspace/doc-view/_modules/comment-input/comment-input.controller.js	2219
webpack:///src/workspace/_modules/notes/notes.controller.js	2164
webpack:///src/workspace/main-view/_modules/create-url/create-url.controller.js	2089
webpack:///src/workspace/doc-view/panel/history/history.controller.js	1892
webpack:///src/workspace/doc-view/_modules/reply-comments/reply-comments.controller.js	1881
webpack:///src/workspace/_modules/fileuploader/filedrag.directive.js	1567
webpack:///src/workspace/main-view/_modules/create-folder/create-folder.controller.js	1506
webpack:///src/workspace/_modules/fileuploader/workspace-v1.json	1450
webpack:///src/workspace/_modules/fileinformation/fileinformation.controller.js	1121
webpack:///src/workspace/_modules/activities/activities.controller.js	1010
webpack:///src/workspace/_modules/collaborators/_modules/collaboratorcontrol/collaboratorcontrol.controller.js	965
webpack:///src/workspace/_modules/breadcrumb/quick-navigation/quick-navigation.controller.js	945
webpack:///src/workspace/doc-view/_modules/comment-list/comment-list.controller.js	900
webpack:///src/workspace/_modules/user-avator/user-avator.controller.js	836
webpack:///src/workspace/_modules/collaborators/_modules/collaborators-info/collaborators-info.controller.js	834
webpack:///src/workspace/_modules/scrollto/scrollto.js	804
webpack:///src/workspace/_modules/breadcrumb/quick-navigation/horizontal-wheel/horizontal-wheel.js	768
webpack:///src/workspace/_modules/fileuploader/fileuploader.directive.js	758
webpack:///src/workspace/_modules/mention/mention.js	742
webpack:///src/workspace/_modules/collaborators/_modules/collaborators-manage/collaborators-switch-folder.controller.js	710
webpack:///src/workspace/workspace.controller.js	683
webpack:///src/workspace/workspace.filter.js	665
webpack:///src/workspace/_modules/tabeeb-session-timeout/tabeeb-session-timeout.directive.js	642
webpack:///webpack/bootstrap b26523ccff23bdd90e22	624
webpack:///src/workspace/_modules/resize/resize.js	578
webpack:///src/workspace/_modules/fileinformation/fileinformation.helper.js	548
webpack:///src/workspace/workspace.js	523
webpack:///src/workspace/_modules/breadcrumb/breadcrumb.directive.js	454
webpack:///src/workspace/doc-view/_modules/search-comments/search.model.js	452
webpack:///src/workspace/doc-view/panel/history/history.directive.js	439
webpack:///src/workspace/doc-view/panel/comments/comments.directive.js	417
webpack:///src/workspace/_modules/collaborators/_modules/collaboratorcontrol/collaboratorcontrol.directive.js	415
webpack:///src/workspace/doc-view/_modules/bottom/bottom.directive.js	398
webpack:///src/workspace/doc-view/panel/info/info.directive.js	391
webpack:///src/workspace/_modules/activities/activities.directive.js	370
webpack:///src/workspace/_modules/user-avator/user-avator.directive.js	359
webpack:///src/workspace/_modules/notes/notes.directive.js	344
webpack:///src/workspace/_modules/collaborators/collaborators.directive.js	306
webpack:///webpack/universalModuleDefinition	285
webpack:///src/workspace/doc-view/_modules/wopi/dialogs/wopi.deliverwhilelocked.controller.js	272
webpack:///src/workspace/main-view/_modules/isform-filter/isform-filter.js	205
webpack:///src/workspace/workspace.directive.js	199
webpack:///src/workspace/workspace.module.js	183
webpack:///external "window.__global_module_registers__['seismic-toolkit@3.16.0-release.734']"	84
[sourceMappingURL]	79
[no source]	13
webpack:///external "jQuery"	13
webpack:///src/entry.js	7
[unmapped]	1
[EOLs]	1
