Source	Size
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/components/401/Image-401.jsx	106443
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/components/404/Image-404.jsx	71091
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/components/others/Image-501.jsx	63659
webpack:///node_modules/i18next/dist/esm/i18next.js	53351
webpack:///src/core/i18n/tran.en-US.json	51501
webpack:///node_modules/node-libs-browser/node_modules/buffer/index.js	19817
webpack:///node_modules/xml-js/node_modules/sax/lib/sax.js	19079
webpack:///src/full-bundle/newcicd-package-loaders.js	17920
webpack:///fullbundle.main.58591c6404503189c18e.js	17306
webpack:///node_modules/node-libs-browser/node_modules/readable-stream/lib/_stream_readable.js	10525
webpack:///node_modules/intl-messageformat-parser/lib/parser.js	10489
webpack:///node_modules/node-libs-browser/node_modules/readable-stream/lib/_stream_writable.js	7004
webpack:///node_modules/xml-js/lib/js2xml.js	6210
webpack:///node_modules/events/events.js	5639
webpack:///src/adaptor/seismic-doccenter-v2/LandingAdapter/LandingWrapperDirective.js	5619
webpack:///node_modules/xml-js/lib/xml2js.js	5135
webpack:///src/full-bundle/standalone-loader.js	4780
webpack:///node_modules/string_decoder/lib/string_decoder.js	3553
webpack:///node_modules/intl-messageformat/lib/core.js	2892
webpack:///node_modules/intl-messageformat/lib/compiler.js	2606
webpack:///node_modules/i18next-icu/dist/es/index.js	2345
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/errors.jsx	2043
webpack:///node_modules/node-libs-browser/node_modules/readable-stream/lib/_stream_transform.js	1967
webpack:///src/apps/new-doccenter/doccenter/errors/OldError.jsx	1749
webpack:///node_modules/setimmediate/setImmediate.js	1695
webpack:///node_modules/process/browser.js	1671
webpack:///node_modules/base64-js/index.js	1411
webpack:///node_modules/node-libs-browser/node_modules/readable-stream/lib/internal/streams/BufferList.js	1214
webpack:///node_modules/node-libs-browser/node_modules/readable-stream/lib/_stream_duplex.js	1180
webpack:///src/adaptor/seismic-engagement-form-ui/seismic-engagement-form-ui.js	1173
webpack:///node_modules/timers-browserify/main.js	1030
webpack:///node_modules/core-util-is/lib/util.js	974
webpack:///node_modules/node-libs-browser/node_modules/stream-browserify/index.js	945
webpack:///node_modules/node-libs-browser/node_modules/readable-stream/lib/internal/streams/destroy.js	908
webpack:///node_modules/ieee754/index.js	868
webpack:///node_modules/safe-buffer/index.js	838
webpack:///src/apps/new-doccenter/doccenter/errors/i18n/index.jsx	769
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/i18n/index.jsx	767
webpack:///node_modules/node-libs-browser/node_modules/safe-buffer/index.js	715
webpack:///webpack/bootstrap 3f965aae96611cfa9407	625
webpack:///node_modules/node-libs-browser/node_modules/process-nextick-args/index.js	620
webpack:///node_modules/xml-js/lib/options-helper.js	590
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/components/404/index.jsx	578
webpack:///node_modules/i18next-icu/dist/es/utils.js	571
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/components/401/index.jsx	550
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/components/others/index.jsx	550
webpack:///src/full-bundle/external-loader.js	547
webpack:///src/apps/new-doccenter/doccenter/errors/NextUI/i18n/local-data/en-US.json	521
webpack:///src/full-bundle/defaultWrapper/wrapper.js	450
webpack:///node_modules/i18next/node_modules/@babel/runtime/helpers/typeof.js	450
webpack:///node_modules/intl-messageformat/lib/es5.js	441
