Source	Size
webpack://seismic-app-core/external assign "__global_module_registers__[\"seismic-wopi\"]"	287445
webpack://seismic-app-core/src/ExternalSync/components/Add/index.jsx	26373
webpack://seismic-app-core/src/ImpersonatePicker/Impersonate.jsx	21738
webpack://seismic-app-core/src/ExternalSync/components/Add/views/SyncType/index.jsx	15357
webpack://seismic-app-core/src/ExternalSync/components/Auth/index.jsx	13286
webpack://seismic-app-core/src/InlineViewer/components/RealInlineViewer/index.jsx	11304
webpack://seismic-app-core/src/SecondNavigation/Detail/index.jsx	10544
webpack://seismic-app-core/src/ExternalSync/common/index.js	10028
webpack://seismic-app-core/src/ContentAddons/ContentDetails/Content.jsx	8894
webpack://seismic-app-core/src/ExternalSync/components/Edit/MessageDialog/index.jsx	8003
webpack://seismic-app-core/src/ContentAddons/ResponsiveReviews/EditReview/index.jsx	7946
webpack://seismic-app-core/src/ContentAddons/AskExpert/Item.jsx	7656
webpack://seismic-app-core/src/ExternalSync/components/Add/GooglePicker.jsx	7514
webpack://seismic-app-core/src/ContentAddons/ResponsiveContentInfo/index.jsx	7388
webpack://seismic-app-core/node_modules/react-modal/lib/components/ModalPortal.js	7386
webpack://seismic-app-core/src/SecondNavigation/Responsive/Mobile/index.jsx	7376
webpack://seismic-app-core/src/ContentActions/Rating/index.jsx	6924
webpack://seismic-app-core/src/ContentAddons/ResponsivePanel/index.jsx	6369
webpack://seismic-app-core/src/ContentAddons/ContentDetails/Expert.jsx	6064
webpack://seismic-app-core/src/InlineViewer/index.jsx	6006
webpack://seismic-app-core/src/ContentAddons/ResponsiveAskExpert/index.jsx	5815
webpack://seismic-app-core/src/ContentAddons/ContentProperties/Content.jsx	5725
webpack://seismic-app-core/src/SecondNavigation/Root/index.jsx	5624
webpack://seismic-app-core/node_modules/prop-types/factoryWithTypeCheckers.js	5523
webpack://seismic-app-core/src/ContentAddons/LiveInsights/ContentRelevance.jsx	5506
webpack://seismic-app-core/node_modules/react-lines-ellipsis/lib/index.js	5387
webpack://seismic-app-core/src/ContentAddons/AskExpert/Question.jsx	5369
webpack://seismic-app-core/src/ContentAddons/ResponsiveReviews/index.jsx	5357
webpack://seismic-app-core/node_modules/react-modal/lib/components/Modal.js	5350
webpack://seismic-app-core/src/ContentAddons/Reviews/Review.jsx	5264
webpack://seismic-app-core/src/ContentAddons/Tabs/index.jsx	5099
webpack://seismic-app-core/src/ExternalSync/common/api/index.js	5031
webpack://seismic-app-core/src/ExternalSync/components/Edit/GoogleEditor/index.jsx	4962
webpack://seismic-app-core/src/ContentAddons/AskExpert/Content.jsx	4954
webpack://seismic-app-core/src/ContentAddons/Reviews/Content.jsx	4948
webpack://seismic-app-core/src/ContentAddons/ResponsiveAskExpert/Question/index.jsx	4933
webpack://seismic-app-core/src/ContentAddons/ResponsiveInstructions/index.jsx	4926
webpack://seismic-app-core/src/InlineViewer/components/SpecificDeliveryOptionButton/index.jsx	4812
webpack://seismic-app-core/src/ContentAddons/ContentDetails/index.jsx	4801
webpack://seismic-app-core/src/ContentAddons/Instructions/Content.jsx	4781
webpack://seismic-app-core/src/ExternalSync/components/Edit/index.jsx	4724
webpack://seismic-app-core/src/ContentAddons/ResponsiveReviews/ReviewList/index.jsx	4668
webpack://seismic-app-core/src/CommonComponents/Dialog/index.jsx	4591
webpack://seismic-app-core/src/ContentAddons/LiveInsights/Content.jsx	4587
webpack://seismic-app-core/src/ContentAddons/ResponsiveAskExpert/ExpertItem/index.jsx	4441
webpack://seismic-app-core/src/ContentAddons/ResponsiveInstructions/instructionItem.jsx	4361
webpack://seismic-app-core/src/ContentAddons/LiveInsights/one-line-ellipsis.jsx	4296
webpack://seismic-app-core/src/common/ReactDynamicLoader.jsx	4273
webpack://seismic-app-core/src/ContentAddons/AskExpert/index.jsx	4264
