Source	Size
webpack://SeismicArticlev2/integrateSDK/share/widgets/page.extensionsHostPageWidgets/getExtensionHostPageWidgets.js	130963
webpack://SeismicArticlev2/homePageBuilder/common/components/Error/Image-500.jsx	63804
webpack://SeismicArticlev2/homePageBuilder/blades/Collections/CollectionList/emptyView.jsx	54216
webpack://SeismicArticlev2/homePageBuilder/blades/NewTopPerformers/empty.jsx	47300
webpack://SeismicArticlev2/homePageBuilder/blades/LivesendActivity/emptyView.jsx	38629
webpack://SeismicArticlev2/homePageBuilder/blades/YourTopHits/icons/index.jsx	35925
webpack://SeismicArticlev2/homePageBuilder/blades/YourTopHits/index.jsx	20866
webpack://SeismicArticlev2/homePageBuilder/blades/LivesendActivity/card/index.jsx	17965
webpack://SeismicArticlev2/homePageBuilder/service/service.js	17900
webpack://SeismicArticlev2/homePageBuilder/business/liveSendActivity/service.js	12530
webpack://SeismicArticlev2/homePageBuilder/blades/ProfileBrowser/index.jsx	12329
webpack://SeismicArticlev2/homePageBuilder/blades/Opportunities/DrawContent/index.jsx	12258
webpack://SeismicArticlev2/homePageBuilder/common/components/Error/index.jsx	11585
webpack://SeismicArticlev2/homePageBuilder/viewers/homepageMobileViewer/mobBundle.jsx	11160
webpack://SeismicArticlev2/homePageBuilder/blades/Collections/collectionContainer.jsx	10846
webpack://SeismicArticlev2/homePageBuilder/service/apiClient/forNGexit.js	9990
webpack://SeismicArticlev2/homePageBuilder/blades/YourOpportunities/Draw/index.jsx	9855
webpack://SeismicArticlev2/homePageBuilder/common/i18n/index.js	9407
webpack://SeismicArticlev2/homePageBuilder/blades/NextUiNews/NewsSlide/card.jsx	9335
webpack://SeismicArticlev2/homePageBuilder/blades/Collections/CollectionList/index.jsx	8709
webpack://SeismicArticlev2/homePageBuilder/blades/Collections/Draw/TopContent/index.jsx	8535
webpack://SeismicArticlev2/homePageBuilder/blades/ProfileBrowser/Draw/TopContent/index.jsx	8233
webpack://SeismicArticlev2/homePageBuilder/blades/YourOpportunities/Draw/DocumentList/DocumentItem.jsx	8221
webpack://SeismicArticlev2/homePageBuilder/blades/Opportunities/index.jsx	8170
webpack://SeismicArticlev2/homePageBuilder/blades/Opportunities/DrawContent/DocumentList/DocumentItem.jsx	8131
webpack://SeismicArticlev2/homePageBuilder/viewers/homepageMobileViewer/setupStandalone.js	8049
webpack://SeismicArticlev2/homePageBuilder/blades/TopPerformers/Performer/index.jsx	7906
webpack://SeismicArticlev2/homePageBuilder/blades/LivesendActivity/slide/index.jsx	7761
webpack://SeismicArticlev2/homePageBuilder/common/components/SectionHeader/DropDown/index.jsx	7561
webpack://SeismicArticlev2/webpack/startup	7526
webpack://SeismicArticlev2/homePageBuilder/business/liveSendActivity/index.js	7434
webpack://SeismicArticlev2/homePageBuilder/blades/Opportunities/OpportunitiesCard/index.jsx	7177
webpack://SeismicArticlev2/homePageBuilder/blades/ProfileBrowser/ProfileSlide/index.jsx	6992
webpack://SeismicArticlev2/homePageBuilder/blades/NextUiNews/NewsSlide/index.jsx	6923
webpack://SeismicArticlev2/homePageBuilder/blades/NewTopPerformers/Card/index.jsx	6780
webpack://SeismicArticlev2/homePageBuilder/blades/LivesendActivity/index.jsx	6737
webpack://SeismicArticlev2/integrateSDK/share/widgetEditorComponents/UserAndUserGroup/panel.jsx	6698
webpack://SeismicArticlev2/integrateSDK/share/widgetEditorComponents/SettingPanel/index.tsx	6225
webpack://SeismicArticlev2/homePageBuilder/blades/LivesendActivity/card/cardDetail.jsx	6168
webpack://SeismicArticlev2/homePageBuilder/blades/ProfileBrowser/Draw/TopContent/HighLiveSendCard.jsx	6164
webpack://SeismicArticlev2/homePageBuilder/blades/YourTopHits/YourFrequentlyUsed/index.jsx	6147
webpack://SeismicArticlev2/homePageBuilder/blades/ProfileBrowser/MobileDropdown/index.jsx	6066
webpack://SeismicArticlev2/homePageBuilder/blades/ProfileBrowser/Draw/TopContent/PopularCard.jsx	5875
webpack://SeismicArticlev2/homePageBuilder/common/components/RichTextViewer/RichTextViewer.jsx	5823
webpack://SeismicArticlev2/homePageBuilder/blades/ProfileBrowser/Dropdown/index.jsx	5776
