Source	Size
webpack://SeismicArticlev2/webpack/startup	7512
webpack://SeismicArticlev2/node_modules/babel-polyfill/lib/index.js	579
webpack://SeismicArticlev2/webpack/runtime/jsonp chunk loading	432
webpack://SeismicArticlev2/webpack/runtime/chunk loaded	372
webpack://SeismicArticlev2/webpack/universalModuleDefinition	236
[no source]	215
webpack://SeismicArticlev2/webpack/runtime/make namespace object	175
webpack://SeismicArticlev2/webpack/bootstrap	170
webpack://SeismicArticlev2/webpack/runtime/global	165
webpack://SeismicArticlev2/landingPageBuilder/viewers/landingpageMobileViewer/index.jsx	145
webpack://SeismicArticlev2/webpack/runtime/compat get default export	111
webpack://SeismicArticlev2/webpack/runtime/define property getters	107
[sourceMappingURL]	90
webpack://SeismicArticlev2/webpack/runtime/hasOwnProperty shorthand	68
webpack://SeismicArticlev2/webpack/runtime/node module decorator	67
webpack://SeismicArticlev2/landingPageBuilder/common/constants.js	43
webpack://SeismicArticlev2/webpack/runtime/nonce	12
webpack://SeismicArticlev2/webpack/runtime/amd options	10
webpack://SeismicArticlev2/webpack/runtime/publicPath	7
[unmapped]	1
[EOLs]	1
