Source	Size
webpack://SeismicArticlev2/node_modules/seismic-toolkit/lib/moduleExport.js	1423053
webpack://SeismicArticlev2/node_modules/oidc-client/lib/oidc-client.min.js	283305
webpack://SeismicArticlev2/node_modules/@seismic/user-presence/dist/userPresence.js	130410
webpack://SeismicArticlev2/node_modules/tslib/tslib.es6.mjs	129254
webpack://SeismicArticlev2/node_modules/react-dom/cjs/react-dom.production.min.js	116599
webpack://SeismicArticlev2/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationAllDoneWithWork.js	110886
webpack://SeismicArticlev2/node_modules/seismic-toolkit/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationAllDoneWithWork.js	110886
webpack://SeismicArticlev2/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationLeaveAReview.js	88990
webpack://SeismicArticlev2/node_modules/seismic-toolkit/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationLeaveAReview.js	88990
webpack://SeismicArticlev2/node_modules/react-beautiful-dnd/dist/react-beautiful-dnd.esm.js	86492
webpack://SeismicArticlev2/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationLeaveAComment.js	74094
webpack://SeismicArticlev2/node_modules/seismic-toolkit/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationLeaveAComment.js	74094
webpack://SeismicArticlev2/node_modules/lodash/lodash.js	70709
webpack://SeismicArticlev2/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationNoSearchResults.js	66408
webpack://SeismicArticlev2/node_modules/seismic-toolkit/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationNoSearchResults.js	66408
webpack://SeismicArticlev2/node_modules/react-wxpreview/dist/index.es.js	60554
webpack://SeismicArticlev2/node_modules/moment/moment.js	59049
webpack://SeismicArticlev2/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationAddNewContent.js	56932
webpack://SeismicArticlev2/node_modules/seismic-toolkit/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationAddNewContent.js	56932
webpack://SeismicArticlev2/integrateSDK/share/widgetViewerComponents/Empty/images/NewUIEmpty.tsx	54256
webpack://SeismicArticlev2/node_modules/@seismic/mantle/dist/components/Illustrations/EmptyStates/IllustrationNoAnalytics.js	45621
