Source	Size
webpack://seismic-base/node_modules/@seismic/external-content-picker/dist/external-content-picker.js	375723
webpack://seismic-base/node_modules/react-jsx-parser/dist/umd/react-jsx-parser.min.js	228717
webpack://seismic-base/node_modules/lodash/lodash.js	70726
webpack://seismic-base/node_modules/i18next/dist/esm/i18next.js	55442
webpack://seismic-base/src/components/UIComponents/resource/SuccessPageWidget.svg	48257
webpack://seismic-base/src/components/UIComponents/resource/UnavailableContent.svg	31525
webpack://seismic-base/src/components/UIComponents/resource/EmptyPageWidget.svg	28552
webpack://seismic-base/src/components/UIComponents/resource/NoAuth.svg	27184
webpack://seismic-base/src/components/UIComponents/resource/HighlightsLogin.svg	27126
webpack://seismic-base/src/components/UIComponents/resource/HighlightsProLogin.svg	27126
webpack://seismic-base/src/components/UIComponents/resource/HighlightsSidePanelLogin.svg	27126
webpack://seismic-base/src/components/UIComponents/resource/CarouselLogin.svg	23480
webpack://seismic-base/src/components/UIComponents/resource/NoActivityPageWidget.svg	23224
webpack://seismic-base/src/components/UIComponents/resource/ListLogin.svg	22304
webpack://seismic-base/src/components/UIComponents/resource/TileLogin.svg	22284
webpack://seismic-base/src/components/UIComponents/resource/SidePanelTileLogin.svg	22284
webpack://seismic-base/node_modules/react-responsive/dist/react-responsive.js	21645
webpack://seismic-base/src/components/UIComponents/resource/Login.svg	20300
webpack://seismic-base/src/services/SeismicBaseManager.ts	19072
webpack://seismic-base/node_modules/react-slick/lib/inner-slider.js	16621
webpack://seismic-base/src/services/SeismicUMSUser.service.ts	13273
webpack://seismic-base/node_modules/dom-align/dist-web/index.js	13233
webpack://seismic-base/node_modules/react-slick/lib/utils/innerSliderUtils.js	11808
webpack://seismic-base/node_modules/rc-trigger/es/index.js	11603
webpack://seismic-base/src/utils/filterMainNavMenu.ts	10840
webpack://seismic-base/src/components/relatedContentOnDocList/XCPLoader.jsx	10677
webpack://seismic-base/src/components/relatedContent/components/RelatedContentIndicator.jsx	10076
webpack://seismic-base/node_modules/mdast-util-from-markdown/dist/index.js	9626
webpack://seismic-base/src/components/BaseInternalPageWidget/index.tsx	9350
webpack://seismic-base/src/components/BaseInternalPageWidget/NoContent.tsx	9117
webpack://seismic-base/src/components/BaseInternalSearch/common/cardUtilities.ts	9039
webpack://seismic-base/src/services/handleDeeplinks.ts	8828
webpack://seismic-base/src/services/SeismicBaseNavigation.service.ts	8789
webpack://seismic-base/src/components/BaseInternalSearch/BaseInternalSearchList/useLoadItems.tsx	8593
webpack://seismic-base/src/services/entitlement.ts	8337
webpack://seismic-base/src/components/UIComponents/utilities/getServiceAddresses.js	8113
webpack://seismic-base/src/components/BaseInternalSearch/searchService.ts	8003
webpack://seismic-base/src/services/deepLinkHandlerForArticle.ts	7720
webpack://seismic-base/node_modules/resize-observer-polyfill/dist/ResizeObserver.es.js	7608
webpack://seismic-base/src/components/RelatedTraining/InlineTraining.tsx	7140
webpack://seismic-base/node_modules/react-slick/lib/track.js	5893
webpack://seismic-base/node_modules/react-slick/lib/slider.js	5863
webpack://seismic-base/src/components/UIComponents/cards/ExternalCMCard.jsx	5063
webpack://seismic-base/node_modules/history/esm/history.js	4525
webpack://seismic-base/node_modules/react-slick/lib/arrows.js	4516
webpack://seismic-base/node_modules/rc-animate/es/Animate.js	4240
webpack://seismic-base/node_modules/rc-trigger/es/Popup.js	4166
webpack://seismic-base/node_modules/react-markdown/lib/ast-to-react.js	3858
webpack://seismic-base/node_modules/react-slick/lib/dots.js	3754
webpack://seismic-base/node_modules/babel-runtime/node_modules/core-js/library/modules/es6.symbol.js	3421
webpack://seismic-base/src/components/UIComponents/searchCards/SearchCardWide.jsx	3356
webpack://seismic-base/node_modules/unified/index.js	3327
webpack://seismic-base/node_modules/micromark/dist/tokenize/html-flow.js	3252
webpack://seismic-base/node_modules/path-to-regexp/index.js	3172
webpack://seismic-base/src/components/UIComponents/searchCards/SearchCardNarrow.jsx	2995
webpack://seismic-base/node_modules/micromark/dist/tokenize/label-end.js	2974
webpack://seismic-base/node_modules/add-dom-event-listener/lib/EventObject.js	2917
webpack://seismic-base/src/components/UIComponents/resource/NoContent.svg	2902
webpack://seismic-base/src/components/UIComponents/lists/cardList/NewsListItem.tsx	2895
webpack://seismic-base/node_modules/rc-util/es/ContainerRender.js	2885
webpack://seismic-base/node_modules/core-js/modules/es.promise.constructor.js	2810
webpack://seismic-base/node_modules/core-js/modules/es.symbol.constructor.js	2804
webpack://seismic-base/src/components/UIComponents/markdown/MarkdownV2.jsx	2677
webpack://seismic-base/node_modules/react-router-dom/esm/react-router-dom.js	2656
webpack://seismic-base/src/components/UIComponents/TooltipWithEllipses/TooltipWithEllipses.jsx	2655
webpack://seismic-base/src/components/UIComponents/MessageDialog/messageDialog.jsx	2621
webpack://seismic-base/node_modules/react-router/esm/react-router.js	2619
webpack://seismic-base/node_modules/micromark/dist/tokenize/html-text.js	2597
webpack://seismic-base/node_modules/micromark/dist/tokenize/list.js	2491
webpack://seismic-base/src/components/UIComponents/cardDialog/index.jsx	2471
webpack://seismic-base/node_modules/rc-tooltip/es/Tooltip.js	2387
webpack://seismic-base/node_modules/rc-align/es/Align.js	2379
webpack://seismic-base/node_modules/rc-util/es/Portal.js	2374
webpack://seismic-base/src/components/RelatedTraining/xcp/ExternalContactPickerContainer.tsx	2349
webpack://seismic-base/node_modules/react-lifecycles-compat/react-lifecycles-compat.es.js	2334
webpack://seismic-base/node_modules/micromark/dist/util/create-tokenizer.js	2316
webpack://seismic-base/node_modules/micromark/dist/initialize/document.js	2213
webpack://seismic-base/src/components/relatedContentOnDocList/contentPicker/contentPicker.jsx	2199
webpack://seismic-base/src/components/relatedContent/components/cards/highlight/HighlightNarrowPro.jsx	2196
webpack://seismic-base/src/components/UIComponents/utilities/cardUtilities.js	2152
webpack://seismic-base/node_modules/hoist-non-react-statics/node_modules/react-is/cjs/react-is.production.min.js	2146
webpack://seismic-base/node_modules/react-markdown/node_modules/react-is/cjs/react-is.production.min.js	2146
webpack://seismic-base/node_modules/vfile/lib/minpath.browser.js	2044
webpack://seismic-base/node_modules/vfile/lib/core.js	2037
webpack://seismic-base/src/components/UIComponents/cards/ExternalCardContainer.jsx	1986
webpack://seismic-base/src/components/UIComponents/markdownHtmlParser/ParseMarkdownForColors.jsx	1979
webpack://seismic-base/src/components/BaseInternalSearch/BaseInternalSearchCard/BaseInternalSearchCard.tsx	1959
webpack://seismic-base/src/components/UIComponents/lists/cardList/CardListItem.tsx	1939
webpack://seismic-base/node_modules/micromark/dist/tokenize/attention.js	1916
webpack://seismic-base/src/components/BaseInternalSearch/BaseInternalSearchList/BaseInternalSearchList.tsx	1908
webpack://seismic-base/node_modules/css-animation/es/index.js	1869
webpack://seismic-base/node_modules/react-markdown/lib/renderers.js	1863
webpack://seismic-base/src/components/SeismicBaseIframeWrapper/index.tsx	1861
webpack://seismic-base/node_modules/mini-create-react-context/dist/esm/index.js	1846
webpack://seismic-base/node_modules/core-js/modules/es.regexp.constructor.js	1804
webpack://seismic-base/node_modules/micromark/dist/tokenize/code-fenced.js	1769
webpack://seismic-base/node_modules/react-intersection-observer-hook/dist/react-intersection-observer-hook.esm.js	1703
webpack://seismic-base/src/i18n/locales/index.ts	1682
webpack://seismic-base/src/components/relatedContent/components/cards/highlight/HighlightPro.jsx	1671
webpack://seismic-base/src/components/UIComponents/lists/slider/Slider.jsx	1661
webpack://seismic-base/node_modules/lodash.debounce/index.js	1653
webpack://seismic-base/node_modules/micromark/dist/util/subtokenize.js	1651
webpack://seismic-base/src/components/relatedContent/components/cards/carousel/CarouselWithDescProTenant.jsx	1589
webpack://seismic-base/node_modules/react-markdown/lib/react-markdown.js	1558
webpack://seismic-base/node_modules/micromark/dist/initialize/text.js	1557
webpack://seismic-base/node_modules/lodash/_baseClone.js	1498
webpack://seismic-base/node_modules/css-animation/es/Event.js	1458
webpack://seismic-base/src/components/relatedContent/components/cards/descriptionCard/Description.jsx	1414
webpack://seismic-base/node_modules/core-js/modules/es.string.match-all.js	1358
webpack://seismic-base/node_modules/micromark/dist/tokenize/code-text.js	1353
webpack://seismic-base/src/components/UIComponents/cardDialog/IFrameHelper.jsx	1348
webpack://seismic-base/node_modules/micromark/dist/constant/unicode-punctuation-regex.js	1313
webpack://seismic-base/node_modules/core-js/modules/es.string.replace.js	1268
