Source	Size
webpack://seismic-common/node_modules/oidc-client/lib/oidc-client.min.js	283466
webpack://seismic-common/node_modules/ua-parser-js/src/ua-parser.js	15521
webpack://seismic-common/node_modules/rxjs/dist/cjs/operators/index.js	13094
webpack://seismic-common/src/services/api/Library.service.ts	12882
webpack://seismic-common/node_modules/intl-messageformat-parser/lib/parser.js	10108
webpack://seismic-common/node_modules/reflect-metadata/Reflect.js	9471
webpack://seismic-common/node_modules/object-observer/dist/object-observer.min.js	9172
webpack://seismic-common/src/services/apiSDK/createAPISDKV2.ts	8883
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/http/Http.service.js	8814
webpack://seismic-common/src/services/api/Form.service.ts	7940
webpack://seismic-common/src/services/CommonHelper.service.ts	7639
webpack://seismic-common/src/services/navigator/SeismicNavigator.ts	6543
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/Auth.service.js	6235
webpack://seismic-common/src/services/Notification.service.ts	6193
webpack://seismic-common/src/services/api/CollaborationContentObject.service.ts	5790
webpack://seismic-common/src/services/ArticleV2.service.ts	5575
webpack://seismic-common/src/services/DateTimeUtil.service.ts	5418
webpack://seismic-common/src/services/Impersonation.service.ts	5232
webpack://seismic-common/src/services/eventCollector/core/eventTypes/EventTypes.ts	4963
webpack://seismic-common/src/services/authentication/UserManagerClient.ts	4911
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/Crypto.service.js	4760
webpack://seismic-common/src/services/jsonServiceApi/CollaborationContentManagement.service.ts	4622
webpack://seismic-common/src/services/jsonServiceApi/ApplicationApi.service.ts	4609
webpack://seismic-common/src/services/FMS.service.ts	4550
webpack://seismic-common/node_modules/rxjs/dist/cjs/internal/observable/innerFrom.js	4549
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/storage/Cache.service.js	4489
webpack://seismic-common/src/services/BlobStorageApi.service.ts	4474
webpack://seismic-common/src/services/jsonServiceApi/JsonApi.service.ts	4312
webpack://seismic-common/src/services/Language.service.ts	4281
webpack://seismic-common/src/services/SeismicFromat.service.ts	4268
webpack://seismic-common/src/services/MonolithGlobalHeaders.service.ts	4047
webpack://seismic-common/src/services/Branding.service.ts	3935
webpack://seismic-common/node_modules/crypto-js/core.js	3861
webpack://seismic-common/src/services/DateService.ts	3859
webpack://seismic-common/src/services/LiveDocGenerateTaskModel.service.ts	3797
webpack://seismic-common/node_modules/rxjs/dist/cjs/internal/Subject.js	3768
webpack://seismic-common/src/services/api/BlobDownloadUrl.service.ts	3746
webpack://seismic-common/src/services/Guid.service.ts	3740
webpack://seismic-common/src/services/UserBehaviorTrack.service.ts	3588
webpack://seismic-common/src/services/navigation/DocCenterNavigation.service.ts	3577
webpack://seismic-common/src/services/eventCollector/core/eventTypes/EventValidator.ts	3552
webpack://seismic-common/node_modules/typedi/ContainerInstance.js	3332
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/ServiceAddress.service.js	3313
webpack://seismic-common/src/services/legacyI18n/LegacyTranslate.ts	3288
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/Tenant.service.js	3269
webpack://seismic-common/src/services/uxEvent/UxEventLogger.service.ts	3216
webpack://seismic-common/src/services/navigation/WorkspaceNavigation.service.ts	3176
webpack://seismic-common/src/services/MonolithServiceAddress.service.ts	3175
webpack://seismic-common/src/services/api/File.service.ts	3128
webpack://seismic-common/src/services/Salesforce.service.ts	3087
webpack://seismic-common/src/services/MonolithUser.service.ts	3059
webpack://seismic-common/src/services/jsonServiceApi/IApplicationInfoResponse.ts	2989
webpack://seismic-common/src/constants/DateFormat.ts	2954
webpack://seismic-common/src/services/Browser.service.ts	2944
webpack://seismic-common/src/services/Profile.service.ts	2940
webpack://seismic-common/node_modules/intl-messageformat/lib/core.js	2929
webpack://seismic-common/src/services/CDN.service.ts	2901
webpack://seismic-common/src/services/Permission.service.ts	2860
webpack://seismic-common/node_modules/rxjs/dist/cjs/internal/Subscriber.js	2812
webpack://seismic-common/node_modules/rxjs/dist/cjs/internal/Subscription.js	2799
webpack://seismic-common/src/services/EmbeddedApp.service.ts	2775
webpack://seismic-common/src/services/eventCollector/core/eventTypes/EventEnums.ts	2764
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/http/HttpServiceEnhancedPromise.js	2745
webpack://seismic-common/src/services/centralEvents/CentralEvents.service.ts	2705
webpack://seismic-common/src/services/eventCollector/model/workspace.ts	2697
webpack://seismic-common/src/services/seismicBase/SeismicBaseNavigation.service.ts	2639
webpack://seismic-common/node_modules/intl-messageformat/lib/compiler.js	2635
webpack://seismic-common/src/services/apiSDK/FullResponseModeInterceptor.ts	2616
webpack://seismic-common/node_modules/rxjs/dist/cjs/internal/util/isReadableStreamLike.js	2516
webpack://seismic-common/src/constants/SeismicUrlConstants.ts	2476
webpack://seismic-common/src/services/eventCollector/EventCollector.service.ts	2476
webpack://seismic-common/src/services/TopHeader.service.ts	2464
webpack://seismic-common/src/SeismicCommon.ts	2441
webpack://seismic-common/src/helper/SeismicHelper.ts	2395
webpack://seismic-common/src/services/LaunchDarkly.service.ts	2334
webpack://seismic-common/src/index.ts	2330
webpack://seismic-common/src/util/angular/angular-utils.ts	2294
webpack://seismic-common/src/services/NotificationBusiness.service.ts	2227
webpack://seismic-common/src/services/LegacyProfileTeamSite.service.ts	2201
webpack://seismic-common/src/services/apiSDK/fakeApiServiceFactory.ts	2182
webpack://seismic-common/src/entrypoint.ts	2125
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/CoreGlobalHeaders.service.js	2107
webpack://seismic-common/src/services/centralEvents/enums.ts	2087
webpack://seismic-common/src/services/DeliveryOptions.service.ts	2073
webpack://seismic-common/src/services/authentication/AuthClient.ts	2055
webpack://seismic-common/node_modules/rxjs/dist/cjs/internal/scheduler/AsyncAction.js	2028
webpack://seismic-common/src/services/eventCollector/ReferenceEvent.service.ts	1999
webpack://seismic-common/node_modules/@seismic/browser-services/lib/services/http/XhrHttpHandler.js	1946
webpack://seismic-common/node_modules/@seismic/browser-services/lib/index.js	1901
