Source	Size
webpack://seismic-content-discovery-toolkit/src/util/index.tsx	126813
webpack://seismic-content-discovery-toolkit/src/i18n/local-data/doccenter/en-US.js	126227
webpack://seismic-content-discovery-toolkit/node_modules/i18next/dist/esm/i18next.js	42411
webpack://seismic-content-discovery-toolkit/node_modules/react-select/dist/Select-457c486b.esm.js	37682
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/search-result-v3/SearchResultV3.jsx	31741
webpack://seismic-content-discovery-toolkit/node_modules/entities/lib/generated/decode-data-html.js	26798
webpack://seismic-content-discovery-toolkit/src/i18n/local-data/profile/en-US.js	25480
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/strings.js	25046
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/search-result-wrapper-v3/index.jsx	24387
webpack://seismic-content-discovery-toolkit/node_modules/entities/lib/generated/encode-html.js	23506
webpack://seismic-content-discovery-toolkit/src/i18n/local-data/collections/en-US.js	22012
webpack://seismic-content-discovery-toolkit/node_modules/react-responsive/dist/react-responsive.js	19286
webpack://seismic-content-discovery-toolkit/node_modules/react-select/dist/index-a86253bb.esm.js	17393
webpack://seismic-content-discovery-toolkit/node_modules/htmlparser2/lib/Tokenizer.js	17267
webpack://seismic-content-discovery-toolkit/src/service/search/seismicSearchServiceV2.js	16808
webpack://seismic-content-discovery-toolkit/src/components/collection-modal/index.tsx	16502
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/async.js	14704
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/event.js	13657
webpack://seismic-content-discovery-toolkit/src/seismic-init/index.tsx	13064
webpack://seismic-content-discovery-toolkit/src/components/warning-dialog/index.jsx	11896
webpack://seismic-content-discovery-toolkit/src/service/bss/index.ts	11659
webpack://seismic-content-discovery-toolkit/src/service/collection/index.ts	11398
webpack://seismic-content-discovery-toolkit/src/i18n/index.ts	11279
webpack://seismic-content-discovery-toolkit/src/i18n/local-data/profile-view/en-US.js	11130
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/search-result-v3/mobileCustomRender.jsx	9712
webpack://seismic-content-discovery-toolkit/src/components/page-picker-modal/index.tsx	9648
webpack://seismic-content-discovery-toolkit/node_modules/sanitize-html/index.js	9401
webpack://seismic-content-discovery-toolkit/node_modules/htmlparser2/lib/Parser.js	9124
webpack://seismic-content-discovery-toolkit/src/business/search/utility/languageData.js	8537
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/actions-bar/index.jsx	8501
webpack://seismic-content-discovery-toolkit/node_modules/color-convert/conversions.js	8436
webpack://seismic-content-discovery-toolkit/src/business/search/DataHelper/SearchModelsV3.js	7867
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/parser.js	7047
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/search-result-header-v3/SearchResultHeaderV3.jsx	6907
webpack://seismic-content-discovery-toolkit/node_modules/entities/lib/decode.js	6811
webpack://seismic-content-discovery-toolkit/src/i18n/local-data/search/en-US.js	6651
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/actions-bar/action-button.jsx	6455
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/lazy-result.js	6392
webpack://seismic-content-discovery-toolkit/node_modules/domhandler/lib/node.js	6150
webpack://seismic-content-discovery-toolkit/src/components/empty-collection-next-ui/index.tsx	6106
webpack://seismic-content-discovery-toolkit/node_modules/color/index.js	6051
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/search-result-v3/columns.js	5773
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/container.js	5247
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/map-generator.js	5203
webpack://seismic-content-discovery-toolkit/src/components/collection-modal/user-select.tsx	4619
webpack://seismic-content-discovery-toolkit/src/business/search/contentTypeManager.js	4606
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/lifecycle.js	4569
webpack://seismic-content-discovery-toolkit/node_modules/@emotion/cache/dist/emotion-cache.browser.esm.js	4487
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/node.js	4161
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/stringifier.js	4113
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/iterator.js	4046
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/components/host-icon/index.jsx	3735
webpack://seismic-content-discovery-toolkit/src/business/search/commonUtility.js	3712
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/types.js	3691
webpack://seismic-content-discovery-toolkit/src/components/search-bar/index.tsx	3501
webpack://seismic-content-discovery-toolkit/node_modules/@floating-ui/dom/dist/floating-ui.dom.browser.min.mjs	3478
webpack://seismic-content-discovery-toolkit/node_modules/color-name/index.js	3428
webpack://seismic-content-discovery-toolkit/node_modules/entities/lib/index.js	3352
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/index.tsx	3317
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/components/sort-item/SortItem.jsx	3275
webpack://seismic-content-discovery-toolkit/node_modules/color-string/index.js	3195
webpack://seismic-content-discovery-toolkit/src/constants/doccenter.js	3149
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/errors.js	3114
webpack://seismic-content-discovery-toolkit/node_modules/dom-serializer/lib/index.js	3090
webpack://seismic-content-discovery-toolkit/src/util/url.ts	3000
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/linkedList.js	2966
webpack://seismic-content-discovery-toolkit/src/business/delivery-option/delivery.business.js	2943
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/input.js	2876
webpack://seismic-content-discovery-toolkit/node_modules/domhandler/lib/index.js	2839
webpack://seismic-content-discovery-toolkit/src/components/share-link-action/index.tsx	2789
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/objects.js	2769
webpack://seismic-content-discovery-toolkit/src/business/search/apiServiceHelper.js	2768
webpack://seismic-content-discovery-toolkit/src/business/search/common/searchSettings.service.js	2752
webpack://seismic-content-discovery-toolkit/src/components/global-style/index.tsx	2659
webpack://seismic-content-discovery-toolkit/src/business/search/DataHelper/DataHelperV3.js	2577
webpack://seismic-content-discovery-toolkit/src/components/empty-collection-next-ui/NextUiSearchEmpty/index.tsx	2468
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/search-result-v3/custom-action-bar/row-actions-menu/index.tsx	2396
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/search-result-v3/custom-action-bar/index.tsx	2379
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/tokenize.js	2375
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/previous-map.js	2241
webpack://seismic-content-discovery-toolkit/src/i18n/local-data/page-widgets/en-US.ts	2188
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/content-name/ContentName.jsx	2153
webpack://seismic-content-discovery-toolkit/node_modules/domutils/lib/feeds.js	2145
webpack://seismic-content-discovery-toolkit/node_modules/hoist-non-react-statics/node_modules/react-is/cjs/react-is.production.min.js	2145
webpack://seismic-content-discovery-toolkit/src/service/search/customParams.js	2087
webpack://seismic-content-discovery-toolkit/src/components/browsing-contents-in-collection/components/info-dialog/InfoDialog.jsx	2057
webpack://seismic-content-discovery-toolkit/node_modules/util-kit/lib/vs/base/common/cancellation.js	1979
webpack://seismic-content-discovery-toolkit/src/business/search/propertyListOperator.js	1954
webpack://seismic-content-discovery-toolkit/src/components/timestamp/index.jsx	1927
webpack://seismic-content-discovery-toolkit/node_modules/htmlparser2/lib/index.js	1856
webpack://seismic-content-discovery-toolkit/node_modules/@emotion/serialize/dist/emotion-serialize.browser.esm.js	1781
webpack://seismic-content-discovery-toolkit/node_modules/copy-to-clipboard/index.js	1767
webpack://seismic-content-discovery-toolkit/src/service/search/memoryCache.js	1679
webpack://seismic-content-discovery-toolkit/node_modules/dom-serializer/lib/foreignNames.js	1672
webpack://seismic-content-discovery-toolkit/node_modules/stylis/src/Parser.js	1638
webpack://seismic-content-discovery-toolkit/src/assets/swagger/index.ts	1615
webpack://seismic-content-discovery-toolkit/node_modules/react-select/dist/useAsync-fd9b28d9.esm.js	1607
webpack://seismic-content-discovery-toolkit/node_modules/deepmerge/dist/cjs.js	1552
webpack://seismic-content-discovery-toolkit/node_modules/domutils/lib/legacy.js	1499
webpack://seismic-content-discovery-toolkit/node_modules/parse-srcset/src/parse-srcset.js	1460
webpack://seismic-content-discovery-toolkit/src/util/accessibility.ts	1435
webpack://seismic-content-discovery-toolkit/node_modules/stylis/src/Tokenizer.js	1387
webpack://seismic-content-discovery-toolkit/node_modules/postcss/lib/css-syntax-error.js	1305
webpack://seismic-content-discovery-toolkit/node_modules/@emotion/sheet/dist/emotion-sheet.browser.esm.js	1304
