Source	Size
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/@seismic/universal-content-picker/dist/universalContentPicker.js	887679
webpack://seismic-content-manager/node_modules/@seismic/content-planning/dist/src/entryLibrary.js	715845
webpack://seismic-content-manager/node_modules/draft-js/node_modules/immutable/dist/immutable.js	56600
webpack://seismic-content-manager/node_modules/@draft-js-plugins/mention/node_modules/immutable/dist/immutable.js	56587
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/immutable/dist/immutable.js	56583
webpack://seismic-content-manager/node_modules/react-select/dist/react-select.es.js	46301
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/react-responsive/dist/react-responsive.js	22064
webpack://seismic-content-manager/node_modules/dompurify/dist/purify.js	21228
webpack://seismic-content-manager/node_modules/graphql/language/parser.mjs	17234
webpack://seismic-content-manager/node_modules/@apollo/client/core/QueryManager.js	16702
webpack://seismic-content-manager/node_modules/roosterjs-editor-dom/lib/index.js	16494
webpack://seismic-content-manager/node_modules/@draft-js-plugins/mention/lib/index.esm.js	16481
webpack://seismic-content-manager/node_modules/ua-parser-js/src/ua-parser.js	16207
webpack://seismic-content-manager/node_modules/immer/dist/immer.cjs.production.min.js	16007
webpack://seismic-content-manager/node_modules/react-toastify/dist/react-toastify.esm.js	14531
webpack://seismic-content-manager/node_modules/dom-align/dist-web/index.js	13013
webpack://seismic-content-manager/node_modules/tlds/index.json	12417
webpack://seismic-content-manager/node_modules/rc-trigger/es/index.js	11721
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/rc-tooltip/node_modules/rc-trigger/es/index.js	11594
webpack://seismic-content-manager/node_modules/@seismic/mantle-rte/node_modules/rc-trigger/es/index.js	11523
webpack://seismic-content-manager/node_modules/lodash-es/lodash.default.js	10596
webpack://seismic-content-manager/node_modules/roosterjs-editor-dom/lib/table/VTable.js	10425
webpack://seismic-content-manager/node_modules/roosterjs-editor-core/lib/editor/EditorBase.js	10295
webpack://seismic-content-manager/node_modules/@seismic/mantle-rte/esm/roosterJsRewrite/ImageEdit/ImageEdit.js	10279
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/@seismic/mantle-rte/esm/roosterJsRewrite/ImageEdit/ImageEdit.js	10277
webpack://seismic-content-manager/node_modules/lodash-es/isSymbol.js	10017
webpack://seismic-content-manager/node_modules/@apollo/client/core/ObservableQuery.js	9395
webpack://seismic-content-manager/node_modules/roosterjs-editor-plugins/lib/plugins/ImageEdit/ImageEdit.js	9221
webpack://seismic-content-manager/node_modules/react-datetime/DateTime.js	9047
webpack://seismic-content-manager/node_modules/draft-js/lib/DraftEditor.react.js	9041
webpack://seismic-content-manager/node_modules/draft-js/lib/convertFromHTMLToContentBlocks.js	8606
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/color/node_modules/color-convert/conversions.js	8478
webpack://seismic-content-manager/node_modules/color-convert/conversions.js	8437
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/history/esm/history.js	8434
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/@draft-js-plugins/editor/lib/index.esm.js	8350
webpack://seismic-content-manager/node_modules/roosterjs-editor-plugins/lib/plugins/ContentEdit/features/listFeatures.js	8245
webpack://seismic-content-manager/node_modules/roosterjs-editor-plugins/lib/plugins/Picker/PickerPlugin.js	7823
webpack://seismic-content-manager/node_modules/draft-js/lib/EditorState.js	7794
webpack://seismic-content-manager/node_modules/resize-observer-polyfill/dist/ResizeObserver.es.js	7619
webpack://seismic-content-manager/node_modules/@apollo/client/cache/inmemory/entityStore.js	7183
webpack://seismic-content-manager/node_modules/zen-observable-ts/module.js	7099
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/date-fns/esm/_lib/format/formatters/index.js	7084
webpack://seismic-content-manager/node_modules/roosterjs-editor-core/lib/corePlugins/EntityPlugin.js	6907
webpack://seismic-content-manager/node_modules/@apollo/client/cache/inmemory/policies.js	6677
webpack://seismic-content-manager/node_modules/regenerator-runtime/runtime.js	6667
webpack://seismic-content-manager/node_modules/@apollo/client/cache/inmemory/writeToStore.js	6634
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/rc-tooltip/node_modules/@babel/runtime/helpers/esm/regeneratorRuntime.js	6600
webpack://seismic-content-manager/node_modules/@seismic/mantle-rte/node_modules/@babel/runtime/helpers/esm/regeneratorRuntime.js	6599
webpack://seismic-content-manager/node_modules/@apollo/client/react/hooks/useQuery.js	6578
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/@seismic/mantle-rte/esm/roosterJsRewrite/ImageEdit/imageEditors/Operator.js	6456
webpack://seismic-content-manager/node_modules/@seismic/mantle-rte/esm/roosterJsRewrite/ImageEdit/imageEditors/Operator.js	6456
webpack://seismic-content-manager/node_modules/@seismic/content-planning/node_modules/react-router/esm/react-router.js	6411
