Source	Size
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/strings.js	35739
webpack://seismic-doccenter-v2/src/common/commonService/doccenterV2AppOptions/index.js	29647
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/map.js	17652
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/async.js	14708
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/charCode.js	14493
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/event.js	13662
webpack://seismic-doccenter-v2/src/services/setting.ts	13596
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/path.js	11667
webpack://seismic-doccenter-v2/src/common/commonService/doccenterV2AppOptions/migrateImplementation.js	11559
webpack://seismic-doccenter-v2/src/DocCenter/Wrapper/index.jsx	10965
webpack://seismic-doccenter-v2/src/common/commonService/serviceHandler/index.js	10909
webpack://seismic-doccenter-v2/src/common/commonService/doccenterV2AppOptions/postInitOptions.js	10530
webpack://seismic-doccenter-v2/src/services/index.js	9811
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/arrays.js	8422
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/color.js	8320
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/keyCodes.js	7649
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/filters.js	7123
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/uri.js	6948
webpack://seismic-doccenter-v2/src/core/adapter/contentList.js	5411
webpack://seismic-doccenter-v2/src/pages/ContentExpirationView/index.jsx	5210
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/lifecycle.js	4571
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/iterator.js	4047
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/types.js	3695
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/errors.js	3115
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/linkedList.js	2968
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/platform.js	2935
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/objects.js	2773
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/network.js	2663
