Source	Size
webpack://seismic-doccenter-v2/node_modules/@seismic/universal-content-picker/dist/universalContentPicker.js	887515
webpack://seismic-doccenter-v2/node_modules/@seismic/content-planning/dist/src/entryLibrary.js	748891
webpack://seismic-doccenter-v2/external assign "__global_module_registers__[\"seismic-toolkit\"]"	103679
webpack://seismic-doccenter-v2/node_modules/immutable/dist/immutable.js	56616
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/strings.js	35739
webpack://seismic-doccenter-v2/src/common/commonService/doccenterV2AppOptions/index.js	30158
webpack://seismic-doccenter-v2/src/pages/AllContentsView/index.jsx	27740
webpack://seismic-doccenter-v2/node_modules/@seismic/content-planning/node_modules/react-responsive/dist/react-responsive.js	21418
webpack://seismic-doccenter-v2/node_modules/dompurify/dist/purify.js	21183
webpack://seismic-doccenter-v2/node_modules/@draft-js-plugins/editor/lib/index.esm.js	20875
webpack://seismic-doccenter-v2/src/components/SecNavBar/index.jsx	19984
webpack://seismic-doccenter-v2/node_modules/react-responsive/dist/react-responsive.js	19906
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/map.js	17652
webpack://seismic-doccenter-v2/src/DocCenter/allContentsViewContainer.jsx	17248
webpack://seismic-doccenter-v2/src/services/index.js	16845
webpack://seismic-doccenter-v2/node_modules/@apollo/client/core/QueryManager.js	16699
webpack://seismic-doccenter-v2/node_modules/@draft-js-plugins/mention/lib/index.esm.js	16487
webpack://seismic-doccenter-v2/node_modules/graphql/language/parser.mjs	16459
webpack://seismic-doccenter-v2/node_modules/ua-parser-js/src/ua-parser.js	16303
webpack://seismic-doccenter-v2/node_modules/immer/dist/immer.cjs.production.min.js	16007
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-dom/lib/index.js	15959
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/async.js	14719
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/charCode.js	14493
webpack://seismic-doccenter-v2/src/services/setting.ts	13850
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/event.js	13673
webpack://seismic-doccenter-v2/node_modules/dom-align/dist-web/index.js	13219
webpack://seismic-doccenter-v2/src/components/ContentList/index.jsx	13116
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-core/lib/editor/Editor.js	12693
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/path.js	11667
webpack://seismic-doccenter-v2/node_modules/rc-trigger/es/index.js	11602
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-plugins/lib/plugins/TableCellSelection/TableCellSelection.js	11336
webpack://seismic-doccenter-v2/src/DocCenter/Wrapper/index.jsx	10912
webpack://seismic-doccenter-v2/src/common/commonService/serviceHandler/index.js	10733
webpack://seismic-doccenter-v2/src/common/commonService/doccenterV2AppOptions/migrateImplementation.js	10710
webpack://seismic-doccenter-v2/src/NextUI/components/ContentListCustomActionBar/MobileDeliveryActionsBar/index.jsx	10640
webpack://seismic-doccenter-v2/node_modules/lodash-es/lodash.default.js	10596
webpack://seismic-doccenter-v2/src/common/commonService/doccenterV2AppOptions/postInitOptions.js	10448
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-dom/lib/table/VTable.js	10425
webpack://seismic-doccenter-v2/src/components/SecNavBar/Core/index.js	10365
webpack://seismic-doccenter-v2/node_modules/@seismic/content-planning/node_modules/@seismic/mantle-rte/esm/roosterJsRewrite/ImageEdit/ImageEdit.js	10284
webpack://seismic-doccenter-v2/node_modules/lodash-es/isSymbol.js	10017
webpack://seismic-doccenter-v2/src/NextUI/components/AllContentNextUI/AllContentDeliveryOptionsBar/index.jsx	9728
webpack://seismic-doccenter-v2/node_modules/@apollo/client/core/ObservableQuery.js	9394
webpack://seismic-doccenter-v2/node_modules/draft-js/lib/DraftEditor.react.js	9041
webpack://seismic-doccenter-v2/node_modules/draft-js/lib/convertFromHTMLToContentBlocks.js	8595
webpack://seismic-doccenter-v2/node_modules/color/node_modules/color-convert/conversions.js	8478
webpack://seismic-doccenter-v2/src/NextUI/components/AllContentNextUI/index.jsx	8464
webpack://seismic-doccenter-v2/node_modules/color-convert/conversions.js	8437
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/arrays.js	8433
webpack://seismic-doccenter-v2/node_modules/history/esm/history.js	8432
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/color.js	8320
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-plugins/lib/plugins/ImageEdit/ImageEdit.js	8250
webpack://seismic-doccenter-v2/node_modules/react-modal/lib/components/ModalPortal.js	7980
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-plugins/lib/plugins/Picker/PickerPlugin.js	7800
webpack://seismic-doccenter-v2/node_modules/draft-js/lib/EditorState.js	7787
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-plugins/lib/plugins/ContentEdit/features/listFeatures.js	7785
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/keyCodes.js	7649
webpack://seismic-doccenter-v2/node_modules/resize-observer-polyfill/dist/ResizeObserver.es.js	7636
webpack://seismic-doccenter-v2/node_modules/@apollo/client/cache/inmemory/entityStore.js	7183
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/filters.js	7123
webpack://seismic-doccenter-v2/node_modules/@seismic/content-planning/node_modules/date-fns/esm/_lib/format/formatters/index.js	7084
webpack://seismic-doccenter-v2/node_modules/zen-observable-ts/module.js	7080
webpack://seismic-doccenter-v2/node_modules/util-kit/lib/vs/base/common/uri.js	6948
webpack://seismic-doccenter-v2/src/NextUI/components/ContentListCustomActionBar/RowActionsMenu/index.jsx	6899
webpack://seismic-doccenter-v2/node_modules/roosterjs-editor-core/lib/corePlugins/EntityPlugin.js	6681
webpack://seismic-doccenter-v2/node_modules/@apollo/client/cache/inmemory/policies.js	6677
webpack://seismic-doccenter-v2/node_modules/regenerator-runtime/runtime.js	6671
webpack://seismic-doccenter-v2/node_modules/@apollo/client/cache/inmemory/writeToStore.js	6634
webpack://seismic-doccenter-v2/src/components/ContentList/columns.js	6621
webpack://seismic-doccenter-v2/node_modules/rc-trigger/node_modules/@babel/runtime/helpers/esm/regeneratorRuntime.js	6600
webpack://seismic-doccenter-v2/node_modules/@apollo/client/react/hooks/useQuery.js	6578
webpack://seismic-doccenter-v2/node_modules/react-router/esm/react-router.js	6466
webpack://seismic-doccenter-v2/node_modules/@seismic/content-planning/node_modules/@seismic/mantle-rte/esm/roosterJsRewrite/ImageEdit/imageEditors/Operator.js	6456
