Source	Size
webpack://node_modules/lodash/lodash.min.js	73314
webpack://@seismic/readiness-web/src/mock-data/CONTENT_ROOT_INDEX_API.ts	46035
webpack://node_modules/@remix-run/router/dist/router.js	36580
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/generated/decode-data-html.js	26798
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/generated/encode-html.js	23506
webpack://@seismic/readiness-web/src/mock-data/NAVBAR_API.ts	15199
webpack://node_modules/@seismic/readiness-services/node_modules/htmlparser2/lib/Tokenizer.js	14539
webpack://node_modules/react-router/dist/index.js	11864
webpack://node_modules/react-router-dom/dist/index.js	11019
webpack://node_modules/@seismic/readiness-services/node_modules/htmlparser2/lib/Parser.js	9133
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/decode.js	6817
webpack://node_modules/lodash/fp/_mapping.js	6733
webpack://node_modules/@seismic/readiness-services/node_modules/domhandler/lib/node.js	6149
webpack://node_modules/react-i18next/dist/es/TransWithoutContext.js	5478
webpack://node_modules/lodash/fp/_baseConvert.js	4281
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/index.js	3352
webpack://node_modules/@seismic/readiness-services/src/services/HttpMock.service.ts	3137
webpack://node_modules/@seismic/readiness-services/node_modules/dom-serializer/lib/index.js	3092
webpack://node_modules/@seismic/readiness-services/src/services/ReadinessApi.service.ts	3043
webpack://node_modules/@seismic/readiness-services/node_modules/domhandler/lib/index.js	2839
webpack://node_modules/react-i18next/dist/es/useTranslation.js	2571
webpack://node_modules/@seismic/readiness-lesson-component/src/components/Lesson/Lesson.component.tsx	2551
webpack://node_modules/@seismic/readiness-skills-component/src/index.ts	2184
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/feeds.js	2145
webpack://node_modules/html-parse-stringify/dist/html-parse-stringify.module.js	2046
webpack://node_modules/@seismic/readiness-services/node_modules/htmlparser2/lib/index.js	2012
webpack://node_modules/react-i18next/dist/es/utils.js	1883
webpack://@seismic/readiness-web/src/mock-data/LEARN_API.ts	1834
webpack://node_modules/reselect/es/index.js	1808
webpack://node_modules/@seismic/readiness-services/node_modules/dom-serializer/lib/foreignNames.js	1671
webpack://@seismic/readiness-web/src/components/RootComponent/index.tsx	1607
webpack://node_modules/@seismic/readiness-learn-component/src/components/LessonCard/LessonCard.component.tsx	1519
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/legacy.js	1498
webpack://node_modules/@seismic/readiness-lesson-component/src/components/MultiChoiceSurveyElement/MultiChoiceSurveyElement.component.tsx	1351
webpack://node_modules/react-i18next/dist/es/context.js	1315
webpack://node_modules/@seismic/readiness-lesson-component/src/components/LessonSection/LessonSection.component.tsx	1274
webpack://node_modules/@seismic/readiness-shared-components/src/index.ts	1271
webpack://node_modules/@seismic/readiness-learn-component/src/components/LessonList/LessonList.component.tsx	1246
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/escape.js	1242
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/helpers.js	1230
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/index.js	1212
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/manipulation.js	1208
webpack://node_modules/react-i18next/dist/es/Trans.js	1175
webpack://node_modules/@seismic/readiness-learn-component/src/assignmentSelectors.ts	1168
webpack://node_modules/@seismic/readiness-skills-component/src/components/SkillsLayout.component.tsx	1163
webpack://node_modules/@seismic/readiness-learn-component/src/components/LearnPage/LearnPage.component.tsx	1153
webpack://node_modules/react-i18next/dist/es/withTranslation.js	1147
webpack://@seismic/readiness-web/src/components/NavbarComponent/Navbar.component.tsx	1124
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/querying.js	1111
webpack://node_modules/reselect/es/defaultMemoize.js	1085
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/objectWithoutProperties.js	1014
webpack://@seismic/readiness-web/src/mock-data/LESSON_SECTIONS_API.ts	1012
webpack://node_modules/@seismic/readiness-lesson-component/src/components/EmbedElement/EmbedElement.component.tsx	1010
webpack://node_modules/@seismic/readiness-lesson-component/src/components/ImageElement/ImageElement.component.tsx	1006
webpack://@seismic/readiness-web/src/mock-data/LESSON_API.ts	972
webpack://node_modules/@seismic/readiness-path-component/src/components/PathPage/PathPage.component.tsx	967
webpack://node_modules/@seismic/readiness-services/src/index.ts	963
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/traversal.js	959
webpack://node_modules/@seismic/readiness-services/node_modules/domutils/lib/stringify.js	952
webpack://node_modules/@seismic/readiness-shared-components/src/enums/ESectionElements.enum.ts	951
webpack://node_modules/react-i18next/dist/es/defaults.js	890
webpack://node_modules/react-i18next/dist/es/withSSR.js	872
webpack://node_modules/@seismic/readiness-lesson-component/src/components/FreeResponseElement/FreeResponseElement.component.tsx	866
webpack://node_modules/@seismic/readiness-skills-component/src/components/SkillProfiles/SkillProfiles.component.tsx	841
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/encode.js	824
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/decode_codepoint.js	814
webpack://node_modules/@seismic/readiness-learn-component/src/components/ContentGroup/ContentGroup.component.tsx	814
webpack://node_modules/@seismic/readiness-lesson-component/src/components/MultipleSelectElement/MultipleSelectElement.component.tsx	796
webpack://node_modules/@seismic/readiness-shared-components/src/components/NavLink.tsx	729
webpack://@seismic/readiness-web/src/mock-api-data.ts	723
webpack://node_modules/@seismic/readiness-content-component/src/ContentPage.component.tsx	684
webpack://node_modules/@seismic/readiness-skills-component/src/SkillsPage.component.tsx	658
webpack://node_modules/@seismic/readiness-lesson-component/src/decorators/SectionElement.decorator.ts	647
webpack://node_modules/@seismic/readiness-events-component/src/EventPage.component.tsx	630
webpack://node_modules/domelementtype/lib/index.js	620
webpack://node_modules/@seismic/readiness-lesson-component/src/components/LessonComplete/LessonComplete.component.tsx	606
webpack://node_modules/@seismic/readiness-lesson-component/src/components/LessonPage/LessonPage.component.tsx	601
webpack://node_modules/@seismic/readiness-lesson-component/src/decorators/DecoratorMetadataStorage.ts	552
webpack://node_modules/@seismic/readiness-path-component/src/index.ts	532
webpack://node_modules/react-i18next/dist/es/useSSR.js	496
webpack://node_modules/@seismic/readiness-learn-component/node_modules/classnames/index.js	442
webpack://@seismic/readiness-web/webpack/runtime/jsonp chunk loading	434
webpack://node_modules/react-i18next/dist/es/unescape.js	432
webpack://@seismic/readiness-web/webpack/runtime/chunk loaded	394
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/iterableToArrayLimit.js	394
webpack://@seismic/readiness-web/src/index.ts	367
webpack://node_modules/@seismic/readiness-skills-component/src/components/SkillLibrary/SkillLibrary.component.tsx	330
webpack://node_modules/@seismic/readiness-skills-component/src/components/SkillProfiles/AddProfileContainer.component.tsx	301
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/unsupportedIterableToArray.js	286
webpack://node_modules/@seismic/readiness-lesson-component/src/index.ts	274
webpack://node_modules/@seismic/readiness-events-component/src/index.ts	270
webpack://node_modules/@seismic/readiness-services/src/utils/ensureStringEndsWith.ts	269
webpack://node_modules/@seismic/readiness-lesson-component/src/components/TextElement/TextElement.component.tsx	258
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/createClass.js	249
webpack://node_modules/@seismic/readiness-shared-components/src/enums/ELearnType.ts	242
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/toPrimitive.js	233
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/typeof.js	230
webpack://node_modules/@seismic/readiness-services/node_modules/entities/lib/generated/decode-data-xml.js	212
webpack://node_modules/@seismic/readiness-learn-component/src/index.ts	202
webpack://node_modules/@seismic/readiness-content-component/src/index.ts	200
webpack://node_modules/@seismic/readiness-services/src/utils/ensureStringBeginsWithSlash.ts	196
webpack://@seismic/readiness-web/webpack/runtime/make namespace object	175
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/nonIterableRest.js	172
webpack://@seismic/readiness-web/webpack/bootstrap	170
webpack://node_modules/react-i18next/dist/es/I18nextProvider.js	169
webpack://@seismic/readiness-web/webpack/runtime/global	165
webpack://node_modules/void-elements/index.js	154
webpack://node_modules/react-i18next/dist/es/index.js	150
webpack://node_modules/react-i18next/dist/es/Translation.js	145
webpack://node_modules/@seismic/toolchain-scripts/webpack/manifest/setPublicPath.js	136
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/objectWithoutPropertiesLoose.js	132
webpack://@seismic/readiness-web/webpack/startup	129
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/defineProperty.js	125
webpack://@seismic/readiness-web/webpack/runtime/compat get default export	111
[unmapped]	108
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/arrayLikeToArray.js	107
webpack://@seismic/readiness-web/webpack/runtime/define property getters	107
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/classCallCheck.js	92
webpack://node_modules/lodash/fp.js	74
webpack://@seismic/readiness-web/webpack/runtime/hasOwnProperty shorthand	68
webpack://@seismic/readiness-web/webpack/runtime/node module decorator	67
webpack://@seismic/readiness-web/external window "SeismicCommon"	66
webpack://node_modules/react-i18next/dist/es/initReactI18next.js	66
[sourceMappingURL]	63
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/toPropertyKey.js	58
webpack://@seismic/readiness-web/external window "MantleUI"	57
webpack://@seismic/readiness-web/external window "ReactDOM"	57
webpack://@seismic/readiness-web/external window "React"	54
webpack://node_modules/@seismic/readiness-shared-components/src/components/index.ts	46
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/slicedToArray.js	46
webpack://node_modules/react-i18next/dist/es/i18nInstance.js	42
webpack://node_modules/react-i18next/node_modules/@babel/runtime/helpers/esm/arrayWithHoles.js	41
webpack://node_modules/lodash/fp/placeholder.js	35
webpack://@seismic/readiness-web/webpack/runtime/publicPath	18
[EOLs]	2
