Source	Size
webpack://seismic-search/node_modules/lodash/lodash.js	70724
webpack://seismic-search/node_modules/i18next/dist/esm/i18next.js	52324
webpack://seismic-search/node_modules/core-js/modules/web.url.js	12029
webpack://seismic-search/node_modules/intl-messageformat-parser/lib/parser.js	10109
webpack://seismic-search/node_modules/cross-fetch/dist/browser-ponyfill.js	8104
webpack://seismic-search/src/common/i18n/en-US.ts	6803
webpack://seismic-search/node_modules/regenerator-runtime/runtime.js	6516
webpack://seismic-search/node_modules/core-js/modules/web.structured-clone.js	5506
webpack://seismic-search/node_modules/core-js/modules/web.url-search-params.js	4437
webpack://seismic-search/node_modules/i18next-http-backend/esm/index.js	4361
webpack://seismic-search/node_modules/core-js-pure/modules/es.promise.js	4065
webpack://seismic-search/node_modules/core-js/modules/es.promise.js	4039
webpack://seismic-search/node_modules/core-js/modules/es.symbol.js	3674
webpack://seismic-search/node_modules/core-js-pure/modules/es.symbol.js	3672
webpack://seismic-search/node_modules/core-js/internals/array-buffer.js	3400
webpack://seismic-search/node_modules/intl-messageformat/lib/core.js	2935
webpack://seismic-search/src/components/contact-search/components/contact-item/ContactItem.tsx	2715
webpack://seismic-search/node_modules/i18next-http-backend/esm/request.js	2696
webpack://seismic-search/node_modules/intl-messageformat/lib/compiler.js	2636
webpack://seismic-search/node_modules/core-js/internals/typed-array-constructor.js	2537
webpack://seismic-search/node_modules/i18next-icu/dist/es/index.js	2229
webpack://seismic-search/node_modules/core-js/stable/index.js	2148
webpack://seismic-search/node_modules/core-js/internals/collection-strong.js	2023
webpack://seismic-search/node_modules/core-js-pure/internals/collection-strong.js	2022
webpack://seismic-search/node_modules/core-js/internals/array-buffer-view-core.js	1963
webpack://seismic-search/node_modules/core-js/modules/es.string.split.js	1960
webpack://seismic-search/node_modules/core-js/modules/es.regexp.constructor.js	1899
webpack://seismic-search/src/service/uiRenderTimespanService.ts	1587
webpack://seismic-search/node_modules/core-js/modules/web.dom-exception.constructor.js	1586
