Source	Size
webpack://seismic-search/node_modules/@seismic/user-presence/dist/userPresence.js	130546
webpack://seismic-search/node_modules/string-strip-html/dist/string-strip-html.umd.js	118848
webpack://seismic-search/node_modules/lodash/lodash.js	70951
webpack://seismic-search/node_modules/i18next/dist/esm/i18next.js	52422
webpack://seismic-search/node_modules/nanoid/non-secure/index.cjs	35164
webpack://seismic-search/src/components/search-result-page/search-result/SearchResult.tsx	28606
webpack://seismic-search/src/components/search-result-page/search-result-wrapper/SearchResultWrapper.tsx	21428
webpack://seismic-search/node_modules/react-responsive/dist/react-responsive.js	17325
webpack://seismic-search/node_modules/htmlparser2/lib/Tokenizer.js	13575
webpack://seismic-search/node_modules/dom-align/dist-web/index.js	13173
webpack://seismic-search/node_modules/core-js-pure/modules/web.url.js	12034
webpack://seismic-search/node_modules/core-js/modules/web.url.js	12029
webpack://seismic-search/node_modules/rc-trigger/es/index.js	11603
webpack://seismic-search/src/service/seismicSearchService.ts	11375
webpack://seismic-search/src/components/filter-panel/FilterPanel.tsx	10751
webpack://seismic-search/src/DataHelper/SearchModels.ts	10604
webpack://seismic-search/src/components/common/icon/FlyLeaf.jsx	10332
webpack://seismic-search/src/common/i18n/index.ts	10177
webpack://seismic-search/node_modules/intl-messageformat-parser/lib/parser.js	10109
webpack://seismic-search/node_modules/sanitize-html/index.js	8586
webpack://seismic-search/src/utility/languageData.ts	8537
webpack://seismic-search/node_modules/cross-fetch/dist/browser-ponyfill.js	8099
webpack://seismic-search/src/utility/initSearchResultHelper.ts	7700
webpack://seismic-search/node_modules/postcss/lib/parser.js	6913
webpack://seismic-search/src/common/i18n/en-US.ts	6803
webpack://seismic-search/src/components/search-result-page/search-result-header/SearchResultHeader.tsx	6704
webpack://seismic-search/node_modules/regenerator-runtime/runtime.js	6516
webpack://seismic-search/node_modules/postcss/lib/lazy-result.js	6396
webpack://seismic-search/node_modules/htmlparser2/lib/Parser.js	6271
webpack://seismic-search/src/components/search-result-page/search-result-card/SearchResultCard.tsx	5895
webpack://seismic-search/src/components/search-result-page/SearchResultPage.tsx	5887
webpack://seismic-search/node_modules/domhandler/lib/node.js	5670
webpack://seismic-search/src/business/searchFederationManager.ts	5582
webpack://seismic-search/node_modules/core-js/modules/web.structured-clone.js	5506
webpack://seismic-search/node_modules/react-lines-ellipsis/lib/index.js	5378
webpack://seismic-search/node_modules/create-react-class/factory.js	5217
webpack://seismic-search/node_modules/postcss/lib/container.js	5123
webpack://seismic-search/node_modules/postcss/lib/map-generator.js	5060
webpack://seismic-search/src/utility/searchEventHelper.ts	4657
webpack://seismic-search/node_modules/core-js/modules/web.url-search-params.js	4437
webpack://seismic-search/node_modules/core-js-pure/modules/web.url-search-params.js	4434
webpack://seismic-search/node_modules/i18next-http-backend/esm/index.js	4361
webpack://seismic-search/src/DataHelper/DataHelper.ts	4254
webpack://seismic-search/src/utility/serviceHelper.ts	4248
webpack://seismic-search/node_modules/rc-animate/es/Animate.js	4240
webpack://seismic-search/node_modules/htmlparser2/lib/FeedHandler.js	4176
webpack://seismic-search/node_modules/rc-trigger/es/Popup.js	4165
webpack://seismic-search/node_modules/postcss/lib/node.js	4155
webpack://seismic-search/node_modules/postcss/lib/stringifier.js	4114
webpack://seismic-search/node_modules/react-addons-css-transition-group/node_modules/react-transition-group/TransitionGroup.js	4062
webpack://seismic-search/src/components/search-result-page/search-result/columns.tsx	4056
webpack://seismic-search/node_modules/core-js/modules/es.promise.js	4039
webpack://seismic-search/node_modules/core-js-pure/modules/es.promise.js	4033
webpack://seismic-search/node_modules/export-to-csv/build/export-to-csv.js	3865
webpack://seismic-search/src/components/search-result-page/components/search-result-tabs/SearchResultTabs.tsx	3797
webpack://seismic-search/node_modules/core-js/modules/es.symbol.js	3674
webpack://seismic-search/node_modules/core-js-pure/modules/es.symbol.js	3672
webpack://seismic-search/src/components/filter-panel/filterPanelHelper.ts	3650
webpack://seismic-search/src/utility/commonUtility.ts	3609
webpack://seismic-search/src/components/search-result-page/search-result-card/components/info-section/InfoSection.tsx	3549
webpack://seismic-search/src/components/search-result-page/search-result-card/components/drawer/Drawer.tsx	3525
webpack://seismic-search/src/common/specificDeliveryOptions.ts	3492
webpack://seismic-search/node_modules/babel-runtime/node_modules/core-js/library/modules/es6.symbol.js	3419
webpack://seismic-search/node_modules/react-addons-css-transition-group/node_modules/react-transition-group/CSSTransitionGroupChild.js	3403
webpack://seismic-search/src/utility/apiServiceHelper.ts	3400
webpack://seismic-search/node_modules/core-js/internals/array-buffer.js	3400
webpack://seismic-search/node_modules/dom-serializer/lib/foreignNames.js	3176
webpack://seismic-search/src/business/delivery.business.ts	3169
webpack://seismic-search/src/components/filter-panel/components/value-list/ValueList.tsx	3155
webpack://seismic-search/src/components/filter-panel/components/value-item-in-filter/ValueItemInFilter.tsx	2960
webpack://seismic-search/node_modules/intl-messageformat/lib/core.js	2935
webpack://seismic-search/node_modules/add-dom-event-listener/lib/EventObject.js	2917
webpack://seismic-search/src/common/constant.ts	2912
webpack://seismic-search/node_modules/domhandler/lib/index.js	2893
webpack://seismic-search/node_modules/rc-util/es/ContainerRender.js	2885
webpack://seismic-search/node_modules/postcss/lib/input.js	2884
webpack://seismic-search/src/utility/selectPropertyHelper.ts	2830
webpack://seismic-search/src/components/search-result-page/components/user-card/userCardSingle.tsx	2786
webpack://seismic-search/src/components/search-result-page/components/host-icon/HostIcon.tsx	2723
webpack://seismic-search/node_modules/i18next-http-backend/esm/request.js	2696
webpack://seismic-search/src/components/common/TooltipWithEllipses/TooltipWithEllipses.jsx	2680
webpack://seismic-search/node_modules/dom-serializer/lib/index.js	2646
webpack://seismic-search/node_modules/intl-messageformat/lib/compiler.js	2636
webpack://seismic-search/src/components/filter-panel/components/date-range-filter/DateRangeFilter.tsx	2566
webpack://seismic-search/src/components/search-result-page/search-result-card/components/full-path/FullPath.tsx	2564
webpack://seismic-search/node_modules/core-js/internals/typed-array-constructor.js	2537
webpack://seismic-search/src/business/contentTypeManager.ts	2432
webpack://seismic-search/node_modules/rc-tooltip/es/Tooltip.js	2386
webpack://seismic-search/node_modules/rc-align/es/Align.js	2378
webpack://seismic-search/node_modules/postcss/lib/tokenize.js	2376
webpack://seismic-search/node_modules/react-highlighter/lib/highlighter.js	2360
webpack://seismic-search/node_modules/rc-util/es/Portal.js	2351
webpack://seismic-search/node_modules/react-lifecycles-compat/react-lifecycles-compat.es.js	2334
webpack://seismic-search/src/service/extensionService.ts	2308
webpack://seismic-search/node_modules/postcss/lib/previous-map.js	2246
webpack://seismic-search/node_modules/i18next-icu/dist/es/index.js	2229
webpack://seismic-search/src/resources/svg-component/query-part-annotation.jsx	2202
webpack://seismic-search/node_modules/core-js/stable/index.js	2163
webpack://seismic-search/node_modules/domutils/lib/feeds.js	2132
webpack://seismic-search/node_modules/core-js/internals/collection-strong.js	2023
webpack://seismic-search/node_modules/core-js-pure/internals/collection-strong.js	2022
webpack://seismic-search/node_modules/core-js/internals/array-buffer-view-core.js	1963
webpack://seismic-search/node_modules/core-js/modules/es.string.split.js	1960
webpack://seismic-search/node_modules/core-js/modules/es.regexp.constructor.js	1899
webpack://seismic-search/node_modules/react-addons-css-transition-group/node_modules/react-transition-group/CSSTransitionGroup.js	1892
webpack://seismic-search/node_modules/css-animation/es/index.js	1869
webpack://seismic-search/node_modules/htmlparser2/lib/index.js	1794
webpack://seismic-search/src/resources/svg-component/phone.jsx	1775
webpack://seismic-search/src/components/search-result-page/components/DSR-template-viewer/DSRTemplateViewer.tsx	1760
webpack://seismic-search/node_modules/copy-to-clipboard/index.js	1740
webpack://seismic-search/src/components/search-result-page/components/user-card/userCardMulti.tsx	1714
webpack://seismic-search/src/components/filter-panel/components/value-item-in-filter/ValueItemInFilter.helper.ts	1645
webpack://seismic-search/node_modules/react-addons-css-transition-group/node_modules/dom-helpers/transition/properties.js	1630
webpack://seismic-search/node_modules/entities/lib/index.js	1597
webpack://seismic-search/src/components/search-result-page/components/search-result-tabs/SearchResultTab.tsx	1592
webpack://seismic-search/node_modules/core-js/modules/web.dom-exception.constructor.js	1586
webpack://seismic-search/node_modules/deepmerge/dist/cjs.js	1541
webpack://seismic-search/src/service/uiRenderTimespanService.ts	1523
webpack://seismic-search/node_modules/domutils/lib/legacy.js	1502
webpack://seismic-search/src/components/search-result-page/search-result-card/components/drawer/propertyviewer/PropertyViewer.tsx	1467
webpack://seismic-search/node_modules/core-js/modules/es.string.match-all.js	1466
webpack://seismic-search/node_modules/parse-srcset/src/parse-srcset.js	1461
webpack://seismic-search/node_modules/css-animation/es/Event.js	1458
webpack://seismic-search/src/resources/svg-component/query-part-image.jsx	1347
webpack://seismic-search/node_modules/core-js/modules/es.number.to-fixed.js	1337
webpack://seismic-search/src/components/search-result-page/components/user-card/userCardSingle.module.scss?945f	1323
webpack://seismic-search/node_modules/core-js/internals/collection-weak.js	1321
webpack://seismic-search/src/common/constant_doccenter.ts	1318
webpack://seismic-search/src/components/search-result-page/components/user-card/userCard.tsx	1314
webpack://seismic-search/node_modules/postcss/lib/css-syntax-error.js	1308
webpack://seismic-search/src/DataHelper/util.ts	1290
webpack://seismic-search/node_modules/core-js/internals/string-punycode-to-ascii.js	1287
