Source	Size
webpack://seismic-user-setting-v2/src/common/model/external-data.model.js	121494
webpack://seismic-user-setting-v2/node_modules/i18next/dist/esm/i18next.js	54315
webpack://seismic-user-setting-v2/src/components/user-setting-app/setting-content.jsx	23510
webpack://seismic-user-setting-v2/node_modules/buffer/index.js	20852
webpack://seismic-user-setting-v2/node_modules/sax/lib/sax.js	18984
webpack://seismic-user-setting-v2/src/components/user-setting-app/index.jsx	18519
webpack://seismic-user-setting-v2/src/components/tabs/notifications/services/method.ts	18153
webpack://seismic-user-setting-v2/node_modules/react-responsive/dist/react-responsive.js	17318
webpack://seismic-user-setting-v2/node_modules/react-i18next/dist/es/context.js	16533
webpack://seismic-user-setting-v2/src/components/tabs/external-data/add-external-mapping/index.jsx	15298
webpack://seismic-user-setting-v2/src/common/business/external-data-business.js	14478
webpack://seismic-user-setting-v2/src/components/tabs/personal/index.jsx	13128
webpack://seismic-user-setting-v2/src/components/tabs/external-authz-data/index.jsx	12569
webpack://seismic-user-setting-v2/src/components/tabs/external-data/index.jsx	12520
webpack://seismic-user-setting-v2/node_modules/xmlbuilder/lib/XMLNode.js	12518
webpack://seismic-user-setting-v2/src/components/tabs/external-data/edit-external-mapping/index.jsx	11766
webpack://seismic-user-setting-v2/node_modules/property-information/lib/svg.js	10074
webpack://seismic-user-setting-v2/node_modules/mdast-util-from-markdown/lib/index.js	9652
webpack://seismic-user-setting-v2/src/utils/index.js	9336
webpack://seismic-user-setting-v2/src/service/bss-service.ts	9219
webpack://seismic-user-setting-v2/node_modules/xmlbuilder/lib/XMLDocumentCB.js	9128
webpack://seismic-user-setting-v2/src/components/tabs/notifications/slack/panel.tsx	8528
webpack://seismic-user-setting-v2/src/components/tabs/notifications/teams/panel.tsx	8226
webpack://seismic-user-setting-v2/node_modules/react-modal/lib/components/ModalPortal.js	7784
webpack://seismic-user-setting-v2/src/components/tabs/notifications/email/panel.tsx	7093
webpack://seismic-user-setting-v2/node_modules/xmlbuilder/lib/XMLWriterBase.js	7076
webpack://seismic-user-setting-v2/node_modules/regenerator-runtime/runtime.js	6657
webpack://seismic-user-setting-v2/src/components/tabs/notifications/services/context.ts	6241
webpack://seismic-user-setting-v2/node_modules/xml2js/lib/parser.js	6180
webpack://seismic-user-setting-v2/src/common/model/personal.model.js	6076
webpack://seismic-user-setting-v2/node_modules/events/events.js	6017
webpack://seismic-user-setting-v2/node_modules/react-modal/lib/components/Modal.js	5812
webpack://seismic-user-setting-v2/src/components/tabs/external-data/mapping-item/index.jsx	5607
