Source	Size
webpack://seismic-workspace-v2/src/widgets/RightPanelForListPage/datahandler.js	26591
webpack://seismic-workspace-v2/src/widgets/ResponsivePanel/ResponsiveComments/MentionResponsive/atwhoresponsive.js	18016
webpack://seismic-workspace-v2/src/widgets/InviteUser/InviteUserUI/index.jsx	16346
webpack://seismic-workspace-v2/src/widgets/InviteUser/index.jsx	16110
webpack://seismic-workspace-v2/src/widgets/ActivitiesDialogForDetail/index.jsx	16086
webpack://seismic-workspace-v2/src/widgets/Comments/components/Comment.jsx	15650
webpack://seismic-workspace-v2/src/components/UploadFile/utils/FileUploadBusiness.js	14443
webpack://seismic-workspace-v2/src/components/UploadFile/utils/zip.js	12797
webpack://seismic-workspace-v2/src/NextUI/components/ManageCollaborator/index.jsx	11813
webpack://seismic-workspace-v2/src/components/UserAvatar/index.jsx	11627
webpack://seismic-workspace-v2/src/NextUI/components/NextUIActionMenus/index.jsx	11143
webpack://seismic-workspace-v2/src/widgets/InviteUser/InviteUserUI/InviteUserItem/index.jsx	9899
webpack://seismic-workspace-v2/src/widgets/CollaborationUserList/index.jsx	8709
webpack://seismic-workspace-v2/src/widgets/ContentActivitiesForDetail/dataHandler.js	8633
webpack://seismic-workspace-v2/src/components/UploadFile/index.jsx	8249
webpack://seismic-workspace-v2/src/widgets/InviteUser/InviteUserUI/InviteUserRoleItem/index.jsx	7369
webpack://seismic-workspace-v2/src/widgets/Comments/components/AddComment.jsx	7042
webpack://seismic-workspace-v2/src/widgets/ActivitiesDialogForDetail/ActivitiyItem/index.jsx	6424
webpack://seismic-workspace-v2/src/components/UploadFile/UploadLoading/index.jsx	6386
webpack://seismic-workspace-v2/src/widgets/InviteUser/InviteUserUI/InviteSettings/index.jsx	6228
webpack://seismic-workspace-v2/src/components/MentionEditor/index.jsx	6061
webpack://seismic-workspace-v2/src/widgets/ContentActions/Follow/index.jsx	6033
webpack://seismic-workspace-v2/src/NextUI/components/NextUIActionMenus/NextUIFixedMenuItem/index.jsx	5701
webpack://seismic-workspace-v2/src/widgets/InviteUser/InviteUserUI/InviteDialog/index.jsx	5608
webpack://seismic-workspace-v2/src/widgets/InviteUser/InviteUserUI/InviteDropDownList/index.jsx	5545
webpack://seismic-workspace-v2/src/widgets/ResponsivePanel/ResponsiveComments/MentionResponsive/index.jsx	5423
webpack://seismic-workspace-v2/src/widgets/Comments/components/SubComment.jsx	5073
webpack://seismic-workspace-v2/src/NextUI/components/NextUIDeliveryOptionsBarForListPage/ActionsMenu/Common/constants.js	4933
webpack://seismic-workspace-v2/src/components/ToggleButton/index.jsx	4923
webpack://seismic-workspace-v2/src/Icons/svg/SvgEdit.jsx	4881
webpack://seismic-workspace-v2/src/widgets/InviteUser/InviteUserUI/InviteDropDownItem/index.jsx	4676
webpack://seismic-workspace-v2/src/newRelic/CloudSync.js	4456
webpack://seismic-workspace-v2/src/Icons/svg/SvgEditLiveDoc.jsx	4442
webpack://seismic-workspace-v2/src/Icons/svg/SvgSettings.jsx	4441
webpack://seismic-workspace-v2/src/NextUI/components/NextUITooltip/index.jsx	4323
webpack://seismic-workspace-v2/src/Icons/svg/SvgReorder.jsx	3874
webpack://seismic-workspace-v2/src/components/FormatIcons/index.jsx	3813
webpack://seismic-workspace-v2/src/newRelic/PerformanceKPI.ts	3808
webpack://seismic-workspace-v2/src/components/Protal/index.jsx	3267
webpack://seismic-workspace-v2/src/components/UploadFile/utils/dataHandler.js	3256
webpack://seismic-workspace-v2/src/Icons/svg/SvgUserInvite.jsx	3224
webpack://seismic-workspace-v2/src/newRelic/GoogleSync.js	3196
webpack://seismic-workspace-v2/src/Icons/svg/SvgNewEdit.jsx	3169
webpack://seismic-workspace-v2/src/Icons/svg/SvgOpenInGoogleDrive.jsx	3074
webpack://seismic-workspace-v2/src/components/UploadFile/utils/uploadByLocal.jsx	3061
webpack://seismic-workspace-v2/src/Icons/svg/SvgZoomIn.jsx	2922
webpack://seismic-workspace-v2/src/Icons/svg/SvgPresenter.jsx	2800
webpack://seismic-workspace-v2/src/Icons/svg/SvgSearch.jsx	2723
webpack://seismic-workspace-v2/src/Icons/svg/SvgCheck.jsx	2710
webpack://seismic-workspace-v2/src/newRelic/OneDriveSync.js	2400
webpack://seismic-workspace-v2/src/Icons/svg/SvgEditWithGoogle.jsx	2331
webpack://seismic-workspace-v2/src/Icons/svg/SvgEditWopi.jsx	2308
webpack://seismic-workspace-v2/src/Icons/svg/SvgSave.jsx	2253
webpack://seismic-workspace-v2/src/Icons/IconWrap.js	2180
webpack://seismic-workspace-v2/src/core/responsive/index.jsx	2153
webpack://seismic-workspace-v2/src/components/UploadFile/utils/plimit.js	2132
webpack://seismic-workspace-v2/src/Icons/svg/SvgAssembled.jsx	2044
webpack://seismic-workspace-v2/src/Icons/svg/SvgGoogleDriveSmall.tsx	2028
