Source	Size
webpack://seismic-workspace-v2/src/core/apiClient/workspace-v1.json	152411
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/apiClient/workspace-v1.json	73162
webpack://seismic-workspace-v2/node_modules/i18next/dist/cjs/i18next.js	56428
webpack://seismic-workspace-v2/src/core/i18n/local-data/en-US.json	42970
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpace/index.jsx	40702
webpack://seismic-workspace-v2/src/core/apiClient/workspace-service-v2.json	24666
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/apiClient/usersetting-v1.json	21559
webpack://seismic-workspace-v2/node_modules/react-responsive/dist/react-responsive.js	21431
webpack://seismic-workspace-v2/src/business/utils.ts	18301
webpack://seismic-workspace-v2/src/core/apiClient/lifecycle-service-v1.json	13409
webpack://seismic-workspace-v2/src/core/apiClient/index.js	13205
webpack://seismic-workspace-v2/src/core/apiClient/freestyle-service-v2.json	13149
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddToWorkSpaceFlowMessageBox/AddToWorkSpaceFlowMessage/AddToWorkSpaceFlowMessageMultiple.jsx	11471
webpack://seismic-workspace-v2/src/AddToWorkSpace/LightContentList/index.jsx	11153
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpace/commonHandler.js	10980
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddToWorkSpaceFlowMessageBox/index.jsx	9033
webpack://seismic-workspace-v2/node_modules/color/node_modules/color-convert/conversions.js	8478
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddExternalArticleFlowMessageBox/index.jsx	8016
webpack://seismic-workspace-v2/src/core/apiClient/blobstorage-service.json	7975
webpack://seismic-workspace-v2/src/core/apiClient/form-service-v1.json	7804
webpack://seismic-workspace-v2/src/AddToWorkSpace/LightContentList/components/Header/index.jsx	6908
webpack://seismic-workspace-v2/src/pages/FreestyleV2Page/business.js	6361
webpack://seismic-workspace-v2/src/AddToWorkSpace/LightContentList/components/Body/index.jsx	6323
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddToWorkSpaceFlowMessageBox/AddToWorkSpaceFlowMessage/AddToWorkSpaceFlowMessageSuccess.jsx	6086
webpack://seismic-workspace-v2/node_modules/color/index.js	5880
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/TransWithoutContext.js	5873
webpack://seismic-workspace-v2/src/AddToWorkSpace/LightContentList/components/Footer/index.jsx	5702
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpace/dataManager.js	5554
webpack://seismic-workspace-v2/src/business/constants.js	5519
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/i18n/en-US.json	5435
webpack://seismic-workspace-v2/src/AddToWorkSpace/LightContentList/components/Body/Item.jsx	5428
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/CreateCopyInDriveFlowMessageBox/FlowView/SuccessView/index.jsx	5060
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpace/dataHandler.js	4339
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddExternalArticleFlowMessageBox/AddExternalArticleFlowMessage/AddExternalArticleFlowMessageSuccess.jsx	4331
webpack://seismic-workspace-v2/src/components/CommonModal/NextUIConfirm/index.jsx	4318
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/CreateCopyInDriveFlowMessageBox/index.jsx	4284
webpack://seismic-workspace-v2/src/NextUI/components/NextUITooltip/index.jsx	4204
webpack://seismic-workspace-v2/src/components/CommonModal/NextUIError/index.jsx	3918
webpack://seismic-workspace-v2/src/AddToWorkSpace/FormatIcons/index.jsx	3886
webpack://seismic-workspace-v2/src/core/commonServiceProvider/index.js	3878
webpack://seismic-workspace-v2/src/business/LDcenter.ts	3827
webpack://seismic-workspace-v2/node_modules/color-name/index.js	3429
webpack://seismic-workspace-v2/node_modules/color/node_modules/color-name/index.js	3429
webpack://seismic-workspace-v2/src/components/CommonModal/Confirm/index.jsx	3385
webpack://seismic-workspace-v2/src/AddToWorkSpace/LightContentList/utils/styleHandler.js	3361
webpack://seismic-workspace-v2/node_modules/color-string/index.js	3183
webpack://seismic-workspace-v2/src/components/CommonModal/NextUIWarning/index.jsx	3094
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpace/dataCache.js	3090
webpack://seismic-workspace-v2/src/components/CommonModal/Error/index.jsx	3048
webpack://seismic-workspace-v2/src/components/CommonModal/Warning/index.jsx	2908
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/i18n/i18n-plugin/getSeismicCDN-plugin.js	2846
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.promise.constructor.js	2820
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.symbol.constructor.js	2797
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/useTranslation.js	2785
webpack://seismic-workspace-v2/src/core/apiClient/blobstorage-service-simple.json	2686
webpack://seismic-workspace-v2/node_modules/i18next-xhr-backend/dist/esm/i18nextXHRBackend.js	2664
webpack://seismic-workspace-v2/src/core/apiClient/freestyleSetting.json	2360
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/apiClient/index.js	2264
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/CreateCopyInDriveFlowMessageBox/FlowView/SuccessView/btnOpenInWorkSpace/icon.jsx	2207
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/CreateCopyInDriveFlowMessageBox/FlowView/PendingView/sketch.jsx	2205
webpack://seismic-workspace-v2/src/core/utils/dialog.js	2178
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddToWorkSpaceFlowMessageBox/AddToWorkSpaceFlowMessage/AddToWorkSpaceFlowMessageFail.jsx	2149
webpack://seismic-workspace-v2/src/core/utils/dialogV2.ts	2147
webpack://seismic-workspace-v2/node_modules/html-parse-stringify/dist/html-parse-stringify.module.js	2144
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/context.js	2126
webpack://seismic-workspace-v2/src/core/i18n/index.js	2111
webpack://seismic-workspace-v2/src/core/responsive/index.jsx	2100
webpack://seismic-workspace-v2/src/NextUI/components/NextUXWrapper.jsx	2087
webpack://seismic-workspace-v2/node_modules/core-js/internals/collection-strong.js	2004
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpace/const.js	1942
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/index.js	1919
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/utils.js	1854
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/CreateCopyInDriveFlowMessageBox/FlowView/SuccessView/btnOpenInDrive/icon.jsx	1708
webpack://seismic-workspace-v2/src/AddToWorkSpace/NextUX.jsx	1631
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/util/AddExternalArticleFlowEvent.js	1564
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/util/AddtoWorkSpaceFlowEvent.js	1551
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/Trans.js	1493
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/util/CreateCopyInDriveFlowEvent.js	1410
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.number.constructor.js	1394
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/withTranslation.js	1390
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/CreateCopyInDriveFlowMessageBox/FlowView/SuccessView/sketch.jsx	1387
webpack://seismic-workspace-v2/src/core/utils/keyBoardHandler.js	1330
webpack://seismic-workspace-v2/node_modules/core-js/internals/collection-weak.js	1328
webpack://seismic-workspace-v2/src/business/index.js	1322
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.number.to-fixed.js	1308
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.string.replace.js	1274
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/NewRelic/index.js	1273
webpack://seismic-workspace-v2/node_modules/core-js/internals/regexp-exec.js	1251
webpack://seismic-workspace-v2/node_modules/core-js/internals/collection.js	1237
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.weak-map.constructor.js	1234
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/CreateCopyInDriveFlowMessageBox/FlowView/PendingView/index.jsx	1211
webpack://seismic-workspace-v2/src/core/context/index.ts	1186
webpack://seismic-workspace-v2/src/core/apiClient/system-v1-siteinfo.json	1135
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/withSSR.js	1124
webpack://seismic-workspace-v2/src/components/Spinner/index.jsx	1110
webpack://seismic-workspace-v2/webpack/runtime/css loading	1099
webpack://seismic-workspace-v2/node_modules/core-js/internals/task.js	1088
webpack://seismic-workspace-v2/node_modules/core-js/internals/iterator-define.js	1071
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddExternalArticleFlowMessageBox/AddExternalArticleFlowMessage/AddExternalArticleFlowMessageFail.jsx	1067
webpack://seismic-workspace-v2/node_modules/react-i18next/dist/commonjs/defaults.js	1063
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.array.sort.js	1059
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/i18n/index.js	959
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.json.stringify.js	935
webpack://seismic-workspace-v2/src/AddToWorkSpace/LightContentList/components/Loading/index.jsx	928
webpack://seismic-workspace-v2/node_modules/core-js/internals/make-built-in.js	924
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddToWorkSpaceFlowMessageBox/AddToWorkSpaceFlowMessage/AddToWorkSpaceFlowMessagePending.jsx	872
webpack://seismic-workspace-v2/src/AddToWorkSpace/AddToWorkSpaceFlow/AddExternalArticleFlowMessageBox/AddExternalArticleFlowMessage/AddExternalArticleFlowMessagePending.jsx	854
webpack://seismic-workspace-v2/src/components/CommonModal/index.jsx	854
webpack://seismic-workspace-v2/webpack/runtime/jsonp chunk loading	837
webpack://seismic-workspace-v2/src/AddToWorkSpace/index.js	824
webpack://seismic-workspace-v2/src/NextUI/nextUIContext.js	824
webpack://seismic-workspace-v2/node_modules/core-js/internals/internal-metadata.js	822
webpack://seismic-workspace-v2/node_modules/core-js/internals/iterate.js	810
webpack://seismic-workspace-v2/webpack/runtime/load script	797
webpack://seismic-workspace-v2/src/AddToWorkSpace/core/logging/index.js	795
webpack://seismic-workspace-v2/node_modules/core-js/internals/object-create.js	775
webpack://seismic-workspace-v2/node_modules/color/node_modules/color-convert/route.js	768
webpack://seismic-workspace-v2/node_modules/core-js/internals/internal-state.js	768
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.symbol.description.js	748
webpack://seismic-workspace-v2/node_modules/core-js/modules/es.reflect.construct.js	737
webpack://seismic-workspace-v2/node_modules/core-js/internals/microtask.js	714
webpack://seismic-workspace-v2/node_modules/color/node_modules/color-convert/index.js	693
webpack://seismic-workspace-v2/node_modules/core-js/internals/fix-regexp-well-known-symbol-logic.js	676
webpack://seismic-workspace-v2/node_modules/core-js/internals/object-assign.js	661
